name,historical_period,building_type,administrative_region,latitude,longitude,protection_batch,construction_year,preservation_status,architectural_style,floor_area,height,description
咸阳市东塔楼,唐朝,塔楼,陕西省咸阳市,37.9975456366807,108.70403702028823,2,710,较好,传统建筑风格,3101.0812223320354,8.616033551045156,这是一座建于唐朝（公元710年）的塔楼，位于陕西省咸阳市，建筑风格为传统建筑风格。建筑面积3101平方米，高8米，目前保存状况较好。是第2批重点文物保护单位。
福州市北桥梁,清朝,桥梁,福建省福州市,31.832165432094172,105.32593484849347,6,1791,较好,传统建筑风格,4201.348394402595,9.401740016777039,这是一座建于清朝（公元1791年）的桥梁，位于福建省福州市，建筑风格为传统建筑风格。建筑面积4201平方米，高9米，目前保存状况较好。
晋中市南道观,清朝,道观,山西省晋中市,23.479159910723915,109.80959927152124,7,1732,一般,地方特色风格,4385.463325671297,17.868884622880657,这是一座建于清朝（公元1732年）的道观，位于山西省晋中市，建筑风格为地方特色风格。建筑面积4385平方米，高17米，目前保存状况一般。
大同市中寺庙,宋朝,寺庙,山西省大同市,22.74343983945781,105.8990718157969,4,1007,完好,藏传佛教风格,24502.837754783584,15.474789146109817,这是一座建于宋朝（公元1007年）的寺庙，位于山西省大同市，建筑风格为藏传佛教风格。建筑面积24502平方米，高15米，目前保存状况完好。是第4批重点文物保护单位。
漳州市中祠堂,明朝,祠堂,福建省漳州市,39.96228553975353,115.05680280615518,6,1575,一般,徽派建筑风格,555.7723084371469,6.369774764074532,这是一座建于明朝（公元1575年）的祠堂，位于福建省漳州市，建筑风格为徽派建筑风格。建筑面积555平方米，高6米，目前保存状况一般。
朝阳区北钟楼,元朝,钟楼,北京市朝阳区,33.83656246916738,113.90971892209792,5,1340,一般,地方特色风格,987.5479895021069,13.60655050806505,这是一座建于元朝（公元1340年）的钟楼，位于北京市朝阳区，建筑风格为地方特色风格。建筑面积987平方米，高13米，目前保存状况一般。
朝阳区南戏台,元朝,戏台,北京市朝阳区,33.01665662167542,113.56618344912924,6,1294,一般,地方特色风格,4038.830777170682,10.71537725822249,这是一座建于元朝（公元1294年）的戏台，位于北京市朝阳区，建筑风格为地方特色风格。建筑面积4038平方米，高10米，目前保存状况一般。
漳州市北戏台,唐朝,戏台,福建省漳州市,32.904675947409636,104.24284143496729,2,668,较好,地方特色风格,4894.795862394742,18.73608905173639,这是一座建于唐朝（公元668年）的戏台，位于福建省漳州市，建筑风格为地方特色风格。建筑面积4894平方米，高18米，目前保存状况较好。是第2批重点文物保护单位。
咸阳市西塔楼,清朝,塔楼,陕西省咸阳市,38.59148956028279,107.81738501295223,8,1802,完好,传统建筑风格,4567.663479645419,9.742222185108712,这是一座建于清朝（公元1802年）的塔楼，位于陕西省咸阳市，建筑风格为传统建筑风格。建筑面积4567平方米，高9米，目前保存状况完好。
扬州市西会馆,宋朝,会馆,江苏省扬州市,24.840283263443904,108.64578445613526,2,1169,较好,地方特色风格,1375.1134993308456,11.523912082713565,这是一座建于宋朝（公元1169年）的会馆，位于江苏省扬州市，建筑风格为地方特色风格。建筑面积1375平方米，高11米，目前保存状况较好。是第2批重点文物保护单位。
漳州市东驿站,清朝,驿站,福建省漳州市,37.27418182760836,105.17367941231834,8,1696,较差,地方特色风格,2061.7443852120514,13.793412481129113,这是一座建于清朝（公元1696年）的驿站，位于福建省漳州市，建筑风格为地方特色风格。建筑面积2061平方米，高13米，目前保存状况较差。
厦门市东民居,唐朝,民居,福建省厦门市,26.923490839258587,119.38374632745325,2,830,较好,江南水乡民居风格,1131.584243388974,8.317109686373076,这是一座建于唐朝（公元830年）的民居，位于福建省厦门市，建筑风格为江南水乡民居风格。建筑面积1131平方米，高8米，目前保存状况较好。是第2批重点文物保护单位。
西安市东驿站,宋朝,驿站,陕西省西安市,35.3865083335249,104.34711592700162,1,1099,较好,传统建筑风格,3864.2037965183968,9.340944414228609,这是一座建于宋朝（公元1099年）的驿站，位于陕西省西安市，建筑风格为传统建筑风格。建筑面积3864平方米，高9米，目前保存状况较好。是第1批重点文物保护单位。
镇江市中官邸,元朝,官邸,江苏省镇江市,24.975993736910272,116.95465262538251,6,1288,一般,传统建筑风格,4250.2063827291695,15.871905907546845,这是一座建于元朝（公元1288年）的官邸，位于江苏省镇江市，建筑风格为传统建筑风格。建筑面积4250平方米，高15米，目前保存状况一般。
