date,material_id,beginning_inventory,demand,replenishment,ending_inventory
2022-01-01,MAT001,44,53,100,91
2022-01-01,MAT002,117,35,0,82
2022-01-01,MAT003,68,10,0,58
2022-01-01,MAT004,146,0,0,146
2022-01-01,MAT005,54,25,100,129
2022-01-01,MAT006,157,0,0,157
2022-01-01,MAT007,149,0,0,149
2022-01-01,MAT008,111,27,0,84
2022-01-01,MAT009,192,0,0,192
2022-01-01,MAT010,141,0,0,141
2022-01-01,MAT011,85,0,0,85
2022-01-01,MAT012,36,9,0,27
2022-01-01,MAT013,78,61,100,117
2022-01-01,MAT014,25,0,0,25
2022-01-01,MAT015,61,137,160,84
2022-01-01,MAT016,114,21,0,93
2022-01-01,MAT017,63,18,0,45
2022-01-01,MAT018,155,42,0,113
2022-01-01,MAT019,99,51,350,398
2022-01-01,MAT020,53,0,0,53
2022-01-01,MAT021,172,0,0,172
2022-01-01,MAT022,31,25,38,44
2022-01-01,MAT023,176,0,0,176
2022-01-01,MAT024,199,17,0,182
2022-01-01,MAT025,38,10,0,28
2022-01-01,MAT026,62,46,100,116
2022-01-01,MAT027,214,85,0,129
2022-01-01,MAT028,168,0,0,168
2022-01-01,MAT029,74,6,0,68
2022-01-01,MAT030,107,42,0,65
2022-01-01,MAT031,35,0,0,35
2022-01-01,MAT032,184,0,0,184
2022-01-01,MAT033,243,18,0,225
2022-01-01,MAT034,79,24,0,55
2022-01-01,MAT035,68,0,0,68
2022-01-01,MAT036,215,53,0,162
2022-01-01,MAT037,141,0,0,141
2022-01-01,MAT038,113,30,0,83
2022-01-01,MAT039,46,11,200,235
2022-01-01,MAT040,66,12,80,134
2022-01-01,MAT041,75,0,0,75
2022-01-01,MAT042,65,0,0,65
2022-01-01,MAT043,25,0,0,25
2022-01-01,MAT044,30,21,50,59
2022-01-01,MAT045,43,0,0,43
2022-01-01,MAT046,139,118,150,171
2022-01-01,MAT047,36,0,0,36
2022-01-01,MAT048,215,0,0,215
2022-01-01,MAT049,53,0,0,53
2022-01-01,MAT050,90,19,0,71
2022-01-02,MAT001,91,48,0,43
2022-01-02,MAT002,82,12,300,370
2022-01-02,MAT003,58,0,0,58
2022-01-02,MAT004,146,136,200,210
2022-01-02,MAT005,129,32,0,97
2022-01-02,MAT006,157,0,0,157
2022-01-02,MAT007,149,0,0,149
2022-01-02,MAT008,84,38,100,146
2022-01-02,MAT009,192,0,0,192
2022-01-02,MAT010,141,0,0,141
2022-01-02,MAT011,85,0,0,85
2022-01-02,MAT012,27,13,100,114
2022-01-02,MAT013,117,11,0,106
2022-01-02,MAT014,25,42,60,43
2022-01-02,MAT015,84,0,0,84
2022-01-02,MAT016,93,18,0,75
2022-01-02,MAT017,45,0,0,45
2022-01-02,MAT018,113,45,220,288
2022-01-02,MAT019,398,84,0,314
2022-01-02,MAT020,53,0,0,53
2022-01-02,MAT021,172,68,0,104
2022-01-02,MAT022,44,0,0,44
2022-01-02,MAT023,176,0,0,176
2022-01-02,MAT024,182,14,0,168
2022-01-02,MAT025,28,14,20,34
2022-01-02,MAT026,116,36,0,80
2022-01-02,MAT027,129,67,270,332
2022-01-02,MAT028,168,0,0,168
2022-01-02,MAT029,68,13,0,55
2022-01-02,MAT030,65,0,0,65
2022-01-02,MAT031,35,0,0,35
2022-01-02,MAT032,184,0,0,184
2022-01-02,MAT033,225,8,0,217
2022-01-02,MAT034,55,38,200,217
2022-01-02,MAT035,68,0,0,68
2022-01-02,MAT036,162,0,0,162
2022-01-02,MAT037,141,44,0,97
2022-01-02,MAT038,83,0,0,83
2022-01-02,MAT039,235,21,0,214
2022-01-02,MAT040,134,0,0,134
2022-01-02,MAT041,75,0,0,75
2022-01-02,MAT042,65,0,0,65
2022-01-02,MAT043,25,0,0,25
