date,material_id,demand
2022-01-01,MAT001,53
2022-01-02,MAT001,48
2022-01-03,MAT001,55
2022-01-04,MAT001,62
2022-01-05,MAT001,49
2022-01-06,MAT001,50
2022-01-07,MAT001,65
2022-01-08,MAT001,59
2022-01-09,MAT001,49
2022-01-10,MAT001,58
2022-01-11,MAT001,51
2022-01-12,MAT001,51
2022-01-13,MAT001,57
2022-01-14,MAT001,41
2022-01-15,MAT001,43
2022-01-16,MAT001,53
2022-01-17,MAT001,50
2022-01-18,MAT001,61
2022-01-19,MAT001,0
2022-01-20,MAT001,48
2022-01-21,MAT001,71
2022-01-22,MAT001,58
2022-01-23,MAT001,61
2022-01-24,MAT001,50
2022-01-25,MAT001,57
2022-01-26,MAT001,63
2022-01-27,MAT001,53
2022-01-28,MAT001,66
2022-01-29,MAT001,59
2022-01-30,MAT001,62
2022-01-31,MAT001,60
2022-02-01,MAT001,79
2022-02-02,MAT001,65
2022-02-03,MAT001,57
2022-02-04,MAT001,72
2022-02-05,MAT001,57
2022-02-06,MAT001,68
2022-02-07,MAT001,51
2022-02-08,MAT001,57
2022-02-09,MAT001,69
2022-02-10,MAT001,74
2022-02-11,MAT001,70
2022-02-12,MAT001,0
2022-02-13,MAT001,66
2022-02-14,MAT001,57
2022-02-15,MAT001,63
2022-02-16,MAT001,66
2022-02-17,MAT001,78
2022-02-18,MAT001,73
2022-02-19,MAT001,56
2022-02-20,MAT001,73
2022-02-21,MAT001,67
2022-02-22,MAT001,65
2022-02-23,MAT001,75
2022-02-24,MAT001,79
2022-02-25,MAT001,78
2022-02-26,MAT001,64
2022-02-27,MAT001,69
2022-02-28,MAT001,74
2022-03-01,MAT001,79
2022-03-02,MAT001,67
2022-03-03,MAT001,70
2022-03-04,MAT001,62
2022-03-05,MAT001,62
2022-03-06,MAT001,78
2022-03-07,MAT001,82
2022-03-08,MAT001,71
2022-03-09,MAT001,79
2022-03-10,MAT001,74
2022-03-11,MAT001,66
2022-03-12,MAT001,74
2022-03-13,MAT001,83
2022-03-14,MAT001,70
2022-03-15,MAT001,83
2022-03-16,MAT001,50
2022-03-17,MAT001,77
2022-03-18,MAT001,71
2022-03-19,MAT001,68
2022-03-20,MAT001,71
2022-03-21,MAT001,54
2022-03-22,MAT001,68
2022-03-23,MAT001,72
2022-03-24,MAT001,81
2022-03-25,MAT001,65
2022-03-26,MAT001,62
2022-03-27,MAT001,65
2022-03-28,MAT001,76
2022-03-29,MAT001,71
2022-03-30,MAT001,64
2022-03-31,MAT001,72
2022-04-01,MAT001,68
2022-04-02,MAT001,75
2022-04-03,MAT001,61
2022-04-04,MAT001,64
2022-04-05,MAT001,63
2022-04-06,MAT001,54
2022-04-07,MAT001,68
2022-04-08,MAT001,67
2022-04-09,MAT001,65
2022-04-10,MAT001,63
2022-04-11,MAT001,53
2022-04-12,MAT001,61
2022-04-13,MAT001,61
2022-04-14,MAT001,57
2022-04-15,MAT001,62
2022-04-16,MAT001,66
2022-04-17,MAT001,78
2022-04-18,MAT001,64
2022-04-19,MAT001,64
2022-04-20,MAT001,61
2022-04-21,MAT001,46
2022-04-22,MAT001,61
2022-04-23,MAT001,61
2022-04-24,MAT001,80
2022-04-25,MAT001,59
2022-04-26,MAT001,63
2022-04-27,MAT001,60
2022-04-28,MAT001,50
2022-04-29,MAT001,68
2022-04-30,MAT001,65
2022-05-01,MAT001,65
2022-05-02,MAT001,51
2022-05-03,MAT001,69
2022-05-04,MAT001,47
2022-05-05,MAT001,62
2022-05-06,MAT001,75
2022-05-07,MAT001,49
2022-05-08,MAT001,52
2022-05-09,MAT001,58
2022-05-10,MAT001,52
2022-05-11,MAT001,44
2022-05-12,MAT001,57
2022-05-13,MAT001,47
2022-05-14,MAT001,59
2022-05-15,MAT001,48
2022-05-16,MAT001,68
2022-05-17,MAT001,49
2022-05-18,MAT001,52
2022-05-19,MAT001,61
2022-05-20,MAT001,45
2022-05-21,MAT001,56
2022-05-22,MAT001,650
2022-05-23,MAT001,41
2022-05-24,MAT001,55
2022-05-25,MAT001,56
2022-05-26,MAT001,60
2022-05-27,MAT001,44
2022-05-28,MAT001,43
2022-05-29,MAT001,58
2022-05-30,MAT001,56
2022-05-31,MAT001,55
2022-06-01,MAT001,56
2022-06-02,MAT001,48
2022-06-03,MAT001,55
2022-06-04,MAT001,55
2022-06-05,MAT001,47
2022-06-06,MAT001,68
2022-06-07,MAT001,56
2022-06-08,MAT001,43
2022-06-09,MAT001,58
2022-06-10,MAT001,45
2022-06-11,MAT001,59
2022-06-12,MAT001,62
2022-06-13,MAT001,46
2022-06-14,MAT001,60
2022-06-15,MAT001,56
2022-06-16,MAT001,59
2022-06-17,MAT001,68
2022-06-18,MAT001,50
2022-06-19,MAT001,46
2022-06-20,MAT001,45
2022-06-21,MAT001,46
2022-06-22,MAT001,52
2022-06-23,MAT001,55
2022-06-24,MAT001,55
2022-06-25,MAT001,59
2022-06-26,MAT001,53
2022-06-27,MAT001,64
2022-06-28,MAT001,0
2022-06-29,MAT001,74
2022-06-30,MAT001,58
2022-07-01,MAT001,46
2022-07-02,MAT001,44
2022-07-03,MAT001,456
2022-07-04,MAT001,51
2022-07-05,MAT001,58
2022-07-06,MAT001,57
2022-07-07,MAT001,52
2022-07-08,MAT001,46
2022-07-09,MAT001,41
2022-07-10,MAT001,49
2022-07-11,MAT001,60
2022-07-12,MAT001,55
2022-07-13,MAT001,43
2022-07-14,MAT001,54
2022-07-15,MAT001,56
2022-07-16,MAT001,46
2022-07-17,MAT001,54
2022-07-18,MAT001,53
2022-07-19,MAT001,44
2022-07-20,MAT001,56
2022-07-21,MAT001,57
2022-07-22,MAT001,61
2022-07-23,MAT001,61
2022-07-24,MAT001,42
2022-07-25,MAT001,45
2022-07-26,MAT001,0
2022-07-27,MAT001,57
2022-07-28,MAT001,57
2022-07-29,MAT001,83
2022-07-30,MAT001,57
2022-07-31,MAT001,61
2022-08-01,MAT001,60
2022-08-02,MAT001,0
2022-08-03,MAT001,50
2022-08-04,MAT001,58
2022-08-05,MAT001,46
2022-08-06,MAT001,0
2022-08-07,MAT001,0
2022-08-08,MAT001,52
2022-08-09,MAT001,70
2022-08-10,MAT001,36
2022-08-11,MAT001,56
2022-08-12,MAT001,38
2022-08-13,MAT001,47
2022-08-14,MAT001,59
2022-08-15,MAT001,51
2022-08-16,MAT001,42
2022-08-17,MAT001,44
2022-08-18,MAT001,55
2022-08-19,MAT001,44
2022-08-20,MAT001,51
2022-08-21,MAT001,49
2022-08-22,MAT001,44
2022-08-23,MAT001,66
2022-08-24,MAT001,53
2022-08-25,MAT001,32
2022-08-26,MAT001,49
2022-08-27,MAT001,42
2022-08-28,MAT001,54
2022-08-29,MAT001,41
2022-08-30,MAT001,46
2022-08-31,MAT001,50
2022-09-01,MAT001,53
2022-09-02,MAT001,36
2022-09-03,MAT001,43
2022-09-04,MAT001,41
2022-09-05,MAT001,40
2022-09-06,MAT001,59
2022-09-07,MAT001,48
2022-09-08,MAT001,34
2022-09-09,MAT001,51
2022-09-10,MAT001,60
2022-09-11,MAT001,51
2022-09-12,MAT001,31
2022-09-13,MAT001,38
2022-09-14,MAT001,52
2022-09-15,MAT001,36
2022-09-16,MAT001,45
2022-09-17,MAT001,47
2022-09-18,MAT001,33
2022-09-19,MAT001,40
2022-09-20,MAT001,14
2022-09-21,MAT001,32
2022-09-22,MAT001,0
2022-09-23,MAT001,29
2022-09-24,MAT001,52
2022-09-25,MAT001,27
2022-09-26,MAT001,175
2022-09-27,MAT001,39
2022-09-28,MAT001,49
2022-09-29,MAT001,0
2022-09-30,MAT001,46
2022-10-01,MAT001,37
2022-10-02,MAT001,28
2022-10-03,MAT001,40
2022-10-04,MAT001,37
2022-10-05,MAT001,31
2022-10-06,MAT001,36
2022-10-07,MAT001,32
2022-10-08,MAT001,35
2022-10-09,MAT001,40
2022-10-10,MAT001,47
2022-10-11,MAT001,24
