po_id,material_id,supplier_id,order_date,quantity,expected_delivery_date,actual_delivery_date,actual_quantity,unit_price,total_amount,actual_amount,delivery_status,quantity_status,status
PO000001,MAT001,SUP005,2022-01-01,100,2022-01-20,2022-01-20,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000002,MAT005,SUP005,2022-01-01,100,2022-01-22,2022-01-22,100.0,351.67,35167.0,35167.0,On Time,Complete,Completed
PO000003,MAT013,SUP020,2022-01-01,100,2022-01-24,2022-01-25,100.0,26.65,2665.0,2665.0,Delayed,Complete,Completed
PO000004,MAT015,SUP005,2022-01-01,160,2022-01-14,2022-01-14,160.0,198.83,31812.8,31812.8,On Time,Complete,Completed
PO000005,MAT019,SUP001,2022-01-01,350,2022-02-02,2022-02-02,350.0,48.68,17038.0,17038.0,On Time,Complete,Completed
PO000006,MAT022,SUP008,2022-01-01,38,2022-01-25,2022-01-28,38.0,91.34,3470.92,3470.92,Delayed,Complete,Completed
PO000007,MAT026,SUP006,2022-01-01,100,2022-01-10,2022-01-10,97.0,28.39,2839.0,2753.83,On Time,Incomplete,Completed
PO000008,MAT039,SUP016,2022-01-01,200,2022-01-27,2022-01-27,200.0,14.91,2982.0,2982.0,On Time,Complete,Completed
PO000009,MAT040,SUP002,2022-01-01,80,2022-02-03,2022-02-03,80.0,107.79,8623.2,8623.2,On Time,Complete,Completed
PO000010,MAT044,SUP001,2022-01-01,50,2022-02-03,2022-02-08,46.0,11.37,568.5,523.02,Delayed,Incomplete,Completed
PO000011,MAT046,SUP005,2022-01-01,150,2022-01-23,2022-01-23,150.0,341.98,51297.0,51297.0,On Time,Complete,Completed
PO000012,MAT002,SUP010,2022-01-02,300,2022-01-15,2022-01-15,271.0,23.2,6960.0,6287.2,On Time,Incomplete,Completed
PO000013,MAT004,SUP005,2022-01-02,200,2022-01-17,2022-01-17,200.0,457.21,91442.0,91442.0,On Time,Complete,Completed
