qc_id,po_id,material_id,supplier_id,inspection_date,total_quantity,inspected_quantity,defect_quantity,defect_rate,defect_type,severity,action_taken,inspector
QC000001,PO000001,MAT001,SUP005,2022-01-21,100,100,0,0.0007,无,无,接收,Inspector-1
QC000002,PO000002,MAT005,SUP005,2022-01-22,100,100,0,0.0013,无,无,接收,Inspector-5
QC000003,PO000003,MAT013,SUP020,2022-01-25,100,100,0,0.0015,无,无,接收,Inspector-3
QC000004,PO000004,MAT015,SUP005,2022-01-15,160,75,0,0.0035,无,无,接收,Inspector-3
QC000005,PO000005,MAT019,SUP001,2022-02-04,350,70,33,0.0964,清洁度不足,低,供应商返工,Inspector-5
QC000006,PO000006,MAT022,SUP008,2022-01-29,38,38,0,0.0015,无,无,接收,Inspector-2
QC000007,PO000007,MAT026,SUP006,2022-01-10,97,97,0,0.002,无,无,接收,Inspector-4
QC000008,PO000008,MAT039,SUP016,2022-01-27,200,61,0,0.0035,无,无,接收,Inspector-3
QC000009,PO000009,MAT040,SUP002,2022-02-04,80,80,0,0.0005,无,无,接收,Inspector-2
QC000010,PO000010,MAT044,SUP001,2022-02-09,46,46,2,0.0563,尺寸偏差,中,特殊批准使用,Inspector-2
QC000011,PO000011,MAT046,SUP005,2022-01-25,150,30,0,0.005,无,无,接收,Inspector-5
QC000012,PO000012,MAT002,SUP010,2022-01-15,271,59,1,0.0048,轻微尺寸偏差,低,特殊批准使用,Inspector-2
QC000013,PO000013,MAT004,SUP005,2022-01-18,200,40,0,0.0031,无,无,接收,Inspector-5
QC000014,PO000014,MAT008,SUP010,2022-01-14,100,100,0,0.0046,无,无,接收,Inspector-2
QC000015,PO000015,MAT012,SUP004,2022-01-16,100,100,0,0.0031,无,无,接收,Inspector-3
QC000016,PO000016,MAT014,SUP006,2022-01-13,60,60,0,0.0042,无,无,接收,Inspector-3
QC000017,PO000017,MAT018,SUP010,2022-01-17,220,99,0,0.0002,无,无,接收,Inspector-1
QC000018,PO000018,MAT025,SUP009,2022-01-30,18,18,0,0.0045,无,无,接收,Inspector-3
QC000019,PO000019,MAT027,SUP005,2022-01-19,270,89,0,0.0005,无,无,接收,Inspector-2
QC000020,PO000020,MAT034,SUP014,2022-02-02,200,99,0,0.0045,无,无,接收,Inspector-5
QC000021,PO000021,MAT046,SUP005,2022-01-17,200,95,0,0.002,无,无,接收,Inspector-1
QC000022,PO000022,MAT050,SUP009,2022-01-23,58,58,0,0.003,无,无,接收,Inspector-5
QC000023,PO000023,MAT001,SUP005,2022-01-20,200,54,0,0.0025,无,无,接收,Inspector-3
QC000024,PO000024,MAT003,SUP003,2022-02-09,108,73,0,0.0048,无,无,接收,Inspector-1
QC000025,PO000025,MAT014,SUP010,2022-01-18,200,40,0,0.0001,无,无,接收,Inspector-5
QC000026,PO000026,MAT017,SUP015,2022-01-12,195,49,0,0.0017,无,无,接收,Inspector-4
QC000027,PO000027,MAT023,SUP012,2022-01-20,180,95,0,0.0026,无,无,接收,Inspector-3
QC000028,PO000028,MAT024,SUP005,2022-01-26,200,70,0,0.004,无,无,接收,Inspector-2
QC000029,PO000029,MAT030,SUP016,2022-02-03,108,46,0,0.0041,无,无,接收,Inspector-4
QC000030,PO000030,MAT038,SUP014,2022-02-01,100,100,0,0.001,无,无,接收,Inspector-1
QC000031,PO000031,MAT041,SUP020,2022-01-26,190,46,0,0.0019,无,无,接收,Inspector-3
QC000032,PO000032,MAT044,SUP001,2022-02-03,98,98,0,0.0007,无,无,接收,Inspector-4
QC000033,PO000033,MAT045,SUP005,2022-01-24,200,77,0,0.0004,无,无,接收,Inspector-2
QC000034,PO000034,MAT008,SUP014,2022-02-01,250,66,1,0.0046,轻微外观瑕疵,低,特殊批准使用,Inspector-3
QC000035,PO000035,MAT016,SUP008,2022-01-28,220,72,0,0.0036,无,无,接收,Inspector-5
QC000036,PO000036,MAT025,SUP007,2022-01-29,40,40,0,0.0027,无,无,接收,Inspector-1
QC000037,PO000037,MAT031,SUP009,2022-02-02,100,100,0,0.005,无,无,接收,Inspector-2
QC000038,PO000038,MAT046,SUP005,2022-01-19,130,38,0,0.0047,无,无,接收,Inspector-4
QC000039,PO000039,MAT047,SUP002,2022-01-28,50,50,1,0.0341,外观不符,中,供应商返工,Inspector-1
QC000040,PO000040,MAT050,SUP009,2022-01-27,60,60,0,0.0034,无,无,接收,Inspector-5
QC000041,PO000041,MAT015,SUP005,2022-01-22,80,80,0,0.0031,无,无,接收,Inspector-2
QC000042,PO000042,MAT020,SUP003,2022-02-04,90,90,0,0.004,无,无,接收,Inspector-4
QC000043,PO000043,MAT036,SUP006,2022-01-15,135,90,0,0.0032,无,无,接收,Inspector-2
