year,quarter,district,gdp,gdp_growth,investment,investment_growth,retail,retail_growth,export,export_growth
2019,1,新城区,370.61,5.89,113.73,8.31,123.76,7.62,40.88,9.01
2019,1,碑林区,396.1,5.63,120.94,7.5,154.97,6.88,32.44,8.13
2019,1,莲湖区,341.83,5.18,101.95,7.31,112.04,6.7,35.07,7.92
2019,1,雁塔区,424.5,6.13,135.21,8.17,139.73,7.49,48.98,8.85
2019,1,未央区,495.67,4.35,155.1,6.96,127.66,6.38,75.28,7.54
2019,1,灞桥区,308.03,2.68,92.19,5.35,83.93,4.91,42.32,5.8
2019,1,长安区,444.3,4.54,140.9,8.38,102.3,7.68,59.99,9.08
2019,1,高新区,733.75,4.82,240.32,6.81,172.64,6.24,102.01,7.37
2019,1,经开区,571.29,3.87,199.94,6.64,119.34,6.08,112.55,7.19
2019,1,曲江新区,471.88,4.86,160.3,6.87,132.87,6.29,40.29,7.44
2019,2,新城区,364.42,4.12,111.11,5.81,121.13,5.33,39.86,6.3
2019,2,碑林区,393.02,4.81,119.71,6.41,153.52,5.87,32.08,6.94
2019,2,莲湖区,342.27,5.31,102.12,7.5,112.22,6.87,35.14,8.12
2019,2,雁塔区,420.98,5.25,133.74,6.99,138.33,6.41,48.41,7.58
2019,2,未央区,496.13,4.45,155.32,7.12,127.83,6.52,75.4,7.71
2019,2,灞桥区,309.48,3.16,93.03,6.32,84.63,5.79,42.74,6.85
2019,2,长安区,439.97,3.52,138.45,6.5,100.66,5.96,58.87,7.05
2019,2,高新区,734.86,4.98,240.82,7.03,172.97,6.45,102.24,7.62
2019,2,经开区,575.97,4.72,202.68,8.1,120.85,7.42,114.21,8.77
2019,2,曲江新区,466.0,3.55,157.53,5.02,130.75,4.6,39.54,5.44
2019,3,新城区,373.18,6.62,114.82,9.35,124.86,8.57,41.3,10.13
2019,3,碑林区,390.4,4.11,118.66,5.48,152.28,5.02,31.78,5.93
2019,3,莲湖区,345.78,6.4,103.58,9.03,113.69,8.28,35.68,9.78
2019,3,雁塔区,424.92,6.23,135.38,8.31,139.9,7.62,49.05,9.0
2019,3,未央区,492.79,3.75,153.69,5.99,126.59,5.49,74.55,6.49
2019,3,灞桥区,313.07,4.36,95.12,8.71,86.39,7.99,43.77,9.44
2019,3,长安区,444.45,4.58,140.99,8.45,102.36,7.75,60.04,9.15
2019,3,高新区,734.37,4.91,240.6,6.93,172.83,6.35,102.13,7.51
2019,3,经开区,566.33,2.97,197.04,5.09,117.75,4.66,110.79,5.51
2019,3,曲江新区,471.47,4.77,160.1,6.74,132.72,6.17,40.24,7.3
2019,4,新城区,376.05,7.44,116.03,10.51,126.08,9.63,41.77,11.38
2019,4,碑林区,391.66,4.44,119.16,5.92,152.87,5.43,31.93,6.42
2019,4,莲湖区,344.16,5.9,102.91,8.32,113.01,7.63,35.43,9.02
2019,4,雁塔区,418.06,4.51,132.52,6.02,137.17,5.52,47.93,6.52
2019,4,未央区,492.88,3.77,153.73,6.02,126.63,5.52,74.57,6.53
2019,4,灞桥区,312.78,4.26,94.96,8.52,86.25,7.81,43.69,9.23
2019,4,长安区,441.49,3.88,139.31,7.16,101.24,6.57,59.27,7.76
2019,4,高新区,749.31,7.04,247.38,9.95,177.31,9.12,105.24,10.77
2019,4,经开区,582.8,5.96,206.67,10.22,123.04,9.37,116.63,11.08
2019,4,曲江新区,476.93,5.98,162.67,8.45,134.68,7.74,40.93,9.15
2020,1,新城区,377.1,0.28,116.49,0.4,126.53,0.36,41.95,0.43
2020,1,碑林区,392.38,0.18,119.46,0.25,153.22,0.23,32.01,0.27
2020,1,莲湖区,341.18,-0.87,101.65,-1.22,111.75,-1.12,34.96,-1.32
2020,1,雁塔区,419.32,0.3,133.06,0.4,137.68,0.37,48.14,0.44
2020,1,未央区,493.35,0.09,153.97,0.15,126.8,0.14,74.69,0.16
2020,1,灞桥区,309.81,-0.95,93.15,-1.9,84.74,-1.74,42.79,-2.06
2020,1,长安区,439.69,-0.41,138.26,-0.75,100.54,-0.69,58.79,-0.82
2020,1,高新区,740.12,-1.23,243.09,-1.73,174.5,-1.59,103.26,-1.88
2020,1,经开区,578.52,-0.74,204.06,-1.26,121.62,-1.16,115.04,-1.37
2020,1,曲江新区,476.68,-0.05,162.55,-0.07,134.59,-0.07,40.9,-0.08
2020,2,新城区,373.68,-0.63,115.0,-0.89,125.05,-0.81,41.37,-0.96
2020,2,碑林区,387.44,-1.08,117.45,-1.44,150.86,-1.32,31.43,-1.56
2020,2,莲湖区,341.46,-0.78,101.77,-1.11,111.87,-1.01,35.01,-1.2
2020,2,雁塔区,425.23,1.72,135.56,2.29,140.05,2.1,49.12,2.48
2020,2,未央区,489.83,-0.62,152.21,-0.99,125.48,-0.91,73.77,-1.07
2020,2,灞桥区,312.81,0.01,94.97,0.02,86.26,0.02,43.7,0.02
2020,2,长安区,442.4,0.21,139.84,0.38,101.59,0.35,59.51,0.41
2020,2,高新区,754.03,0.63,249.57,0.89,178.76,0.81,106.25,0.96
2020,2,经开区,589.23,1.1,210.58,1.89,125.17,1.73,119.02,2.05
2020,2,曲江新区,469.36,-1.59,159.03,-2.24,131.91,-2.05,39.94,-2.43
2020,3,新城区,372.91,-0.83,114.67,-1.18,124.71,-1.08,41.24,-1.28
2020,3,碑林区,391.63,-0.01,119.15,-0.01,152.86,-0.01,31.92,-0.01
2020,3,莲湖区,342.36,-0.52,102.15,-0.74,112.25,-0.68,35.15,-0.8
2020,3,雁塔区,411.61,-1.54,129.8,-2.06,134.59,-1.88,46.87,-2.23
