district,enterprise_type,register_date,registered_capital,employee_count,development_stage,is_active,annual_revenue,annual_profit,patent_count,rd_investment_ratio,has_foreign_investment,is_listed,tax_contribution
未央区,商贸服务,2023-07-04,1379.29,72,成熟期,False,4379.54,663.74,0,0.0413,False,False,290.86
碑林区,商贸服务,2019-03-04,1137.55,37,成长期,True,2796.04,382.54,0,0.0387,True,False,232.28
经开区,制造业,2019-12-31,1945.99,1362,成长期,True,4939.62,983.24,5,0.0156,False,False,353.29
碑林区,金融服务,2021-04-27,48401.82,110,转型期,True,110338.0,15205.1,4,0.048,False,False,13357.56
高新区,科技企业,2021-01-21,5073.44,418,成长期,True,13514.37,2329.43,4,0.0889,False,True,911.38
雁塔区,文化创意,2021-09-21,196.32,21,转型期,True,760.47,83.88,19,0.0565,False,False,83.7
雁塔区,商贸服务,2021-06-07,4035.13,183,成长期,True,6331.36,943.42,5,0.0215,True,False,469.41
未央区,商贸服务,2019-09-23,2371.97,143,成长期,True,6481.84,1262.94,2,0.0429,False,False,577.52
碑林区,金融服务,2019-10-15,26310.82,268,转型期,False,98888.77,11440.63,5,0.014,False,False,9938.93
未央区,科技企业,2022-01-05,3276.25,88,初创期,False,3423.87,-381.74,5,0.1418,False,False,285.03
长安区,制造业,2020-11-11,19859.76,189,成长期,True,52984.42,6762.58,2,0.0447,False,False,5282.27
碑林区,金融服务,2023-05-03,2506.84,117,成熟期,True,10030.74,2392.53,2,0.0378,True,False,1107.21
高新区,科技企业,2020-12-12,1429.58,317,转型期,True,3931.64,271.1,13,0.076,True,False,427.29
曲江新区,文化创意,2023-12-23,1297.41,53,成长期,False,3189.71,610.93,7,0.0509,True,False,384.51
高新区,制造业,2022-01-02,17312.56,1333,成长期,False,47802.48,5340.57,5,0.0171,False,True,3164.23
雁塔区,科技企业,2023-08-14,2322.51,83,成熟期,True,9987.74,1592.4,10,0.1207,True,False,834.66
碑林区,金融服务,2021-03-21,32182.0,110,转型期,True,127388.9,14248.88,1,0.0324,True,False,18098.66
雁塔区,制造业,2019-02-15,17953.5,1441,成熟期,True,71140.04,11307.94,0,0.0328,False,False,8901.59
高新区,金融服务,2020-07-11,48419.5,111,成长期,True,83418.15,10806.21,1,0.0358,True,False,5673.65
未央区,制造业,2022-12-30,10194.74,722,初创期,True,6313.99,-945.86,5,0.0245,True,False,324.77
高新区,科技企业,2023-01-24,1041.94,419,初创期,True,929.51,-181.17,12,0.0503,True,False,71.97
碑林区,商贸服务,2020-01-08,4891.81,142,初创期,True,4285.74,184.72,0,0.0344,False,False,418.4
碑林区,金融服务,2021-09-20,33784.9,51,成长期,True,97796.87,15564.49,2,0.0428,False,True,14215.17
莲湖区,文化创意,2020-01-06,888.47,8,初创期,True,883.85,-109.38,18,0.1486,True,False,85.53
经开区,制造业,2023-07-29,4218.4,1600,初创期,True,3163.22,-215.9,3,0.0107,False,False,407.35
经开区,制造业,2020-08-23,4762.22,851,成熟期,True,21447.67,5583.54,5,0.0211,False,True,3072.6
曲江新区,文化创意,2022-07-14,1134.67,22,成长期,False,2399.74,433.22,13,0.1336,True,False,333.88
未央区,制造业,2020-08-13,16877.96,1776,初创期,False,15276.9,758.39,1,0.0451,False,False,2213.59
高新区,科技企业,2019-02-11,872.32,101,成长期,True,1769.3,238.74,13,0.1001,True,False,91.49
雁塔区,文化创意,2019-11-05,1231.58,17,成长期,True,3587.14,469.26,16,0.0758,True,False,264.34
雁塔区,制造业,2019-12-06,8972.02,1159,初创期,True,11189.16,-517.55,2,0.0305,False,True,809.09
高新区,金融服务,2023-05-04,7438.86,253,成熟期,True,29193.82,6005.14,0,0.0412,True,False,2978.16
长安区,制造业,2021-06-07,7226.23,614,成长期,True,21614.82,2266.62,3,0.0304,False,False,1393.27
未央区,制造业,2022-11-18,13413.1,1157,初创期,True,15657.78,-2126.79,3,0.0348,False,False,2190.26
碑林区,科技企业,2022-10-07,8440.76,107,初创期,True,5465.12,510.7,20,0.1285,True,False,284.89
新城区,金融服务,2023-06-23,41440.39,157,初创期,True,39904.32,-6042.56,0,0.0177,True,False,5035.64
雁塔区,科技企业,2020-10-27,8278.35,254,成长期,True,13859.9,1412.18,5,0.1425,False,False,1781.9
雁塔区,制造业,2019-12-04,9316.24,984,初创期,False,7617.99,-1419.05,4,0.0116,False,False,726.51
新城区,商贸服务,2022-10-09,3819.78,148,成长期,True,9455.86,1376.5,0,0.0399,False,False,979.32
灞桥区,科技企业,2021-04-03,6305.47,208,成长期,True,12063.96,2026.25,6,0.1095,False,False,975.37
碑林区,金融服务,2020-05-26,11193.77,184,成长期,False,20440.01,3050.9,4,0.0139,False,True,1258.0
长安区,金融服务,2022-07-29,18098.63,112,成熟期,True,74874.3,12589.16,4,0.0391,True,False,6097.33
未央区,制造业,2021-06-15,14019.96,1949,成长期,True,23885.36,3218.46,0,0.0207,True,True,1275.11
碑林区,金融服务,2022-01-07,20240.01,216,初创期,True,19257.25,519.85,2,0.0344,False,True,2550.64
曲江新区,文化创意,2022-12-20,70.26,19,成熟期,True,306.45,82.96,7,0.1406,False,False,40.01
高新区,科技企业,2019-09-09,3983.43,330,成熟期,True,13230.48,2218.56,19,0.0998,False,False,939.64
新城区,金融服务,2020-02-14,26792.83,43,成长期,True,51912.02,7650.43,1,0.0369,True,False,5228.7
经开区,制造业,2021-11-17,12835.45,434,成长期,True,31241.82,5718.36,0,0.0322,False,False,2309.37
未央区,制造业,2019-08-30,19670.99,744,成长期,True,50211.99,6135.34,1,0.0284,True,False,3279.5
碑林区,商贸服务,2022-06-11,3612.23,179,成熟期,True,16774.63,4265.53,4,0.0286,False,False,1537.68
长安区,制造业,2020-11-13,4337.54,548,成熟期,True,16834.89,2910.74,0,0.0402,True,False,1183.53
长安区,商贸服务,2019-11-25,1863.44,12,成长期,True,3132.9,431.65,3,0.0205,False,False,447.55
高新区,科技企业,2022-01-01,7620.29,383,成熟期,True,24126.41,4642.77,17,0.1154,False,False,1678.83
经开区,制造业,2021-08-06,3887.51,354,初创期,False,3543.96,-34.38,4,0.0246,False,False,344.86
高新区,科技企业,2020-12-20,9514.79,125,成熟期,True,40322.91,9071.03,16,0.066,True,True,2777.59
新城区,金融服务,2021-09-02,33274.29,143,初创期,True,45446.09,3390.19,5,0.0338,False,False,4063.95
高新区,科技企业,2022-01-15,6672.8,235,成长期,True,17731.28,2090.5,7,0.1417,False,True,982.53
长安区,制造业,2021-08-16,4099.09,1145,初创期,True,3862.46,-646.77,1,0.0298,True,False,355.24
新城区,商贸服务,2023-04-09,2183.03,170,成熟期,True,10073.27,2288.88,2,0.0116,False,False,659.69
碑林区,金融服务,2023-03-30,35111.12,26,初创期,True,32003.7,-2604.55,2,0.0241,True,False,1919.35
碑林区,文化创意,2020-08-13,762.19,46,转型期,True,2751.77,264.28,1,0.0949,True,False,348.65
雁塔区,科技企业,2020-01-10,8580.83,350,初创期,True,5447.1,322.2,16,0.0892,True,False,439.12
高新区,制造业,2019-01-31,9558.01,1950,初创期,True,14211.76,-1583.22,4,0.0243,False,False,2086.3
灞桥区,商贸服务,2022-11-24,2920.11,183,成长期,True,8673.0,1498.57,2,0.0225,True,False,692.72
经开区,制造业,2023-08-22,16815.96,883,成长期,False,40352.24,5340.43,3,0.0499,True,False,3435.59
高新区,金融服务,2020-11-16,23480.4,256,成长期,True,57258.39,11173.92,4,0.0331,True,True,6747.92
雁塔区,科技企业,2022-07-05,6935.61,129,成长期,True,11146.81,1730.75,13,0.1311,True,True,1586.97
莲湖区,制造业,2019-02-13,1892.68,1327,成长期,True,4258.6,536.11,1,0.0475,True,False,608.25
未央区,制造业,2019-09-17,5124.82,267,初创期,True,5323.83,-860.35,5,0.0365,False,False,531.97
莲湖区,商贸服务,2022-09-08,234.67,82,成熟期,True,1000.53,235.72,0,0.0271,True,False,95.6
雁塔区,科技企业,2021-12-19,5739.9,469,成熟期,True,21957.1,4156.11,11,0.1337,True,True,2230.94
高新区,金融服务,2019-07-30,27969.9,46,成长期,True,76330.92,11673.12,3,0.0295,False,False,4928.61
高新区,科技企业,2022-04-05,9522.41,64,成长期,True,19976.92,3646.33,18,0.0592,True,False,1650.39
雁塔区,科技企业,2022-12-16,4556.52,464,初创期,True,5497.76,-123.63,5,0.0986,False,False,725.3
碑林区,金融服务,2021-06-15,3309.31,109,成熟期,True,11617.73,3122.64,5,0.0343,True,False,1044.23
碑林区,金融服务,2019-09-19,24787.13,203,初创期,True,20648.9,-1440.86,1,0.0384,True,False,2583.26
长安区,金融服务,2021-12-23,40209.27,136,成长期,True,115545.38,11668.29,3,0.0251,True,False,14298.73
未央区,商贸服务,2021-02-01,3598.15,57,初创期,True,4805.65,-197.78,2,0.0458,True,False,285.52
碑林区,金融服务,2021-03-24,45672.31,221,成熟期,True,177016.36,52112.89,5,0.0251,False,False,19151.11
未央区,制造业,2021-12-28,1701.53,477,成长期,True,4733.81,797.3,5,0.038,False,False,415.45
碑林区,商贸服务,2021-03-02,2952.19,160,初创期,False,1519.86,113.92,0,0.0176,True,False,152.3
曲江新区,商贸服务,2020-01-11,4496.08,43,初创期,True,6671.07,461.51,3,0.0499,True,False,822.5
经开区,金融服务,2022-07-08,37340.42,102,成熟期,True,120046.89,22947.81,2,0.0267,True,True,16784.63
高新区,金融服务,2023-12-16,5461.63,169,初创期,True,8104.4,-639.01,4,0.012,True,False,911.94
雁塔区,文化创意,2022-05-20,886.65,39,成长期,True,2345.8,272.81,4,0.0978,False,False,248.29
长安区,制造业,2020-06-12,12927.95,1994,成长期,True,30666.77,4435.22,4,0.044,True,True,3496.09
未央区,文化创意,2022-10-20,224.23,64,初创期,True,253.6,4.54,5,0.1371,False,False,29.99
新城区,金融服务,2022-08-11,5733.72,151,成长期,True,10048.87,1917.19,5,0.0264,True,False,1068.74
雁塔区,科技企业,2023-10-03,3147.13,363,转型期,True,12121.93,1557.51,7,0.1082,True,True,1781.45
莲湖区,商贸服务,2019-06-07,1452.66,151,成熟期,True,5441.2,950.08,4,0.0439,False,False,740.93
碑林区,文化创意,2021-04-18,319.78,18,成熟期,True,1199.06,255.68,1,0.138,True,False,115.85
碑林区,商贸服务,2021-05-02,4143.39,90,成熟期,True,13032.58,3791.95,4,0.0106,True,True,1360.81
雁塔区,文化创意,2019-03-07,1102.49,88,成长期,False,2795.86,452.17,10,0.1077,True,False,398.88
曲江新区,商贸服务,2020-06-03,610.82,93,初创期,True,473.82,26.14,2,0.0449,True,False,30.6
高新区,科技企业,2023-08-11,1769.53,134,成长期,True,3267.88,509.28,4,0.1247,False,False,288.99
高新区,制造业,2021-08-04,14259.28,571,成长期,True,38045.61,4365.17,1,0.0314,False,True,2312.54
新城区,商贸服务,2019-02-23,1141.83,36,初创期,False,1030.73,36.32,0,0.0151,False,False,61.37
莲湖区,商贸服务,2020-11-02,1557.43,89,成熟期,True,6996.64,1761.89,3,0.0195,True,False,556.86
经开区,文化创意,2020-08-18,1276.81,88,成熟期,True,5781.41,1644.79,20,0.1112,False,False,421.76
经开区,科技企业,2022-10-30,3862.14,368,成熟期,False,15209.48,2557.92,10,0.1235,False,False,1977.27
长安区,制造业,2023-01-15,576.78,1420,成长期,True,1533.47,260.81,1,0.0319,False,False,86.95
新城区,商贸服务,2022-01-22,187.34,186,初创期,True,234.49,13.36,1,0.0414,True,False,14.41
灞桥区,商贸服务,2022-03-22,3372.28,80,初创期,True,3548.87,172.49,4,0.0441,False,False,301.43
高新区,科技企业,2021-01-14,9749.23,268,成长期,True,18555.7,1876.02,17,0.1131,True,False,1037.16
碑林区,文化创意,2020-06-14,1825.27,54,初创期,False,2736.02,-457.55,5,0.056,True,False,294.91
雁塔区,文化创意,2022-02-06,711.15,24,转型期,True,2475.64,155.98,12,0.1019,True,False,249.44
碑林区,商贸服务,2019-12-16,2860.49,122,初创期,True,3128.99,-205.96,4,0.0132,False,False,164.14
碑林区,商贸服务,2021-07-06,761.74,102,成长期,False,1969.29,300.55,1,0.0315,True,False,275.26
