date,district,station,PM2.5,PM10,SO2,NO2,CO,O3,AQI,noise_level,area_type,water_quality,green_coverage,waste_treatment_rate,sewage_treatment_rate
2023-01-01,新城区,民乐站,97.48,172.38,55.29,92.17,3.23,118.99,146,48.5,居住区,II类,0.4,0.957,0.941
2023-01-01,新城区,长乐站,74.12,201.62,60.62,90.32,0.84,151.6,161,60.6,工业区,V类,0.4,0.963,0.979
2023-01-01,碑林区,小寨站,31.13,125.09,26.77,58.31,3.68,186.01,147,67.8,交通干线,III类,0.38,0.974,0.978
2023-01-01,碑林区,文艺路站,64.03,224.63,44.74,54.32,3.66,111.86,180,79.3,交通干线,I类,0.38,0.951,0.953
2023-01-01,莲湖区,北院门站,95.1,124.24,49.59,69.07,3.73,225.39,149,68.5,工业区,I类,0.35,0.956,0.961
2023-01-01,莲湖区,红庙坡站,76.53,64.23,54.89,118.15,1.83,137.09,142,62.3,工业区,II类,0.35,0.989,0.978
2023-01-01,雁塔区,大雁塔站,111.12,136.31,28.38,51.73,1.17,71.21,167,68.4,交通干线,V类,0.45,0.968,0.978
2023-01-01,雁塔区,小雁塔站,73.82,95.06,27.48,94.91,3.29,181.17,132,72.9,交通干线,IV类,0.45,0.972,0.964
2023-01-01,未央区,未央宫站,102.79,148.77,28.14,32.72,0.79,156.94,154,55.6,居住区,II类,0.41,0.951,0.967
2023-01-01,未央区,开发区站,98.8,146.64,10.14,51.07,1.77,232.28,148,79.8,交通干线,I类,0.41,0.985,0.954
2023-01-01,灞桥区,灞桥站,77.08,207.79,46.24,106.78,2.48,202.03,166,78.5,交通干线,II类,0.43,0.984,0.963
2023-01-01,灞桥区,纺织城站,67.2,199.56,19.47,70.28,2.88,239.3,160,80.0,交通干线,IV类,0.43,0.982,0.963
2023-01-01,长安区,郭杜站,26.65,143.16,28.6,100.5,2.12,129.18,121,62.7,商业区,I类,0.48,0.977,0.95
2023-01-01,长安区,大学城站,47.67,49.39,17.6,74.73,2.5,142.76,100,65.2,商业区,V类,0.48,0.97,0.946
2023-01-01,高新区,科技路站,58.67,58.09,17.88,103.2,1.79,114.39,124,59.5,居住区,III类,0.42,0.965,0.945
2023-01-01,高新区,高新西站,84.35,152.44,22.51,117.27,3.29,70.37,141,78.1,交通干线,III类,0.42,0.953,0.946
2023-01-01,高新区,丈八站,74.37,105.8,33.63,53.45,2.72,240.65,144,67.2,工业区,V类,0.42,0.951,0.942
2023-01-01,经开区,经开站,40.8,131.45,32.11,113.03,2.25,131.86,136,78.3,交通干线,I类,0.4,0.984,0.973
2023-01-01,经开区,浐灞站,43.98,157.02,52.56,120.8,3.49,246.09,148,63.2,工业区,V类,0.4,0.972,0.941
2023-01-01,曲江新区,曲江站,33.5,47.37,41.69,122.6,3.45,190.05,147,50.4,居住区,IV类,0.5,0.98,0.98
2023-01-01,曲江新区,芙蓉园站,41.44,76.27,30.68,105.08,3.57,137.86,143,59.6,居住区,II类,0.5,0.954,0.948
2023-01-02,新城区,民乐站,63.5,130.23,34.09,85.02,1.35,52.22,104,46.4,居住区,III类,0.4,0.97,0.976
2023-01-02,新城区,长乐站,31.16,52.9,15.55,42.95,1.9,90.12,76,62.6,工业区,IV类,0.4,0.963,0.957
2023-01-02,碑林区,小寨站,34.39,59.96,42.67,81.78,2.92,166.71,117,67.0,商业区,II类,0.38,0.967,0.973
2023-01-02,碑林区,文艺路站,92.04,109.22,44.92,31.13,3.16,163.31,138,59.7,商业区,I类,0.38,0.963,0.951
2023-01-02,莲湖区,北院门站,62.44,185.92,12.29,27.5,1.38,129.2,149,65.0,商业区,IV类,0.35,0.982,0.961
2023-01-02,莲湖区,红庙坡站,52.11,174.35,48.68,51.35,2.56,190.27,139,55.8,商业区,I类,0.35,0.95,0.972
2023-01-02,雁塔区,大雁塔站,72.34,158.46,44.16,25.99,0.96,76.18,127,66.1,商业区,V类,0.45,0.985,0.971
2023-01-02,雁塔区,小雁塔站,62.98,96.46,10.33,70.86,0.65,77.62,94,53.4,居住区,I类,0.45,0.974,0.94
2023-01-02,未央区,未央宫站,53.86,128.47,28.07,90.05,0.77,117.52,108,75.0,工业区,I类,0.41,0.99,0.952
2023-01-02,未央区,开发区站,38.88,159.85,47.23,100.8,1.6,62.21,128,58.2,居住区,II类,0.41,0.953,0.98
2023-01-02,灞桥区,灞桥站,43.9,69.94,46.41,28.66,1.68,190.54,114,74.7,交通干线,IV类,0.43,0.966,0.945
2023-01-02,灞桥区,纺织城站,93.43,70.94,6.97,29.34,2.78,150.96,140,62.4,商业区,II类,0.43,0.959,0.947
2023-01-02,长安区,郭杜站,82.65,84.51,45.58,93.75,0.98,167.69,124,51.4,居住区,V类,0.48,0.983,0.949
2023-01-02,长安区,大学城站,38.34,91.05,11.77,98.2,2.79,82.98,118,69.8,工业区,II类,0.48,0.985,0.968
2023-01-02,高新区,科技路站,95.12,104.39,39.31,87.18,3.16,93.11,143,75.4,交通干线,III类,0.42,0.982,0.945
2023-01-02,高新区,高新西站,67.74,141.23,20.29,47.95,1.6,186.27,113,62.6,商业区,V类,0.42,0.97,0.978
2023-01-02,高新区,丈八站,72.9,52.45,43.09,72.53,1.76,179.24,109,76.0,交通干线,V类,0.42,0.971,0.949
2023-01-02,经开区,经开站,44.87,118.05,25.36,46.82,0.68,181.77,109,49.7,居住区,I类,0.4,0.987,0.956
2023-01-02,经开区,浐灞站,40.03,170.06,27.01,54.21,0.82,72.54,136,66.7,工业区,I类,0.4,0.967,0.976
2023-01-02,曲江新区,曲江站,77.14,56.37,29.78,70.55,1.24,57.53,116,67.6,商业区,IV类,0.5,0.985,0.955
2023-01-02,曲江新区,芙蓉园站,80.64,167.37,38.56,81.63,2.73,80.55,134,54.8,居住区,III类,0.5,0.96,0.975
2023-01-03,新城区,民乐站,67.28,65.77,22.29,66.53,2.52,135.29,101,61.3,工业区,I类,0.4,0.975,0.948
2023-01-03,新城区,长乐站,38.13,77.8,14.96,29.37,1.38,167.44,100,73.2,工业区,I类,0.4,0.967,0.97
2023-01-03,碑林区,小寨站,62.85,135.57,22.51,57.62,1.8,89.74,108,64.5,商业区,III类,0.38,0.964,0.947
2023-01-03,碑林区,文艺路站,70.18,99.74,20.74,74.72,2.12,166.16,105,65.1,商业区,V类,0.38,0.988,0.966
2023-01-03,莲湖区,北院门站,79.15,68.86,36.19,48.6,2.1,64.63,119,64.5,工业区,I类,0.35,0.974,0.949
2023-01-03,莲湖区,红庙坡站,59.83,154.37,12.6,41.44,1.43,96.62,123,58.8,商业区,I类,0.35,0.988,0.958
2023-01-03,雁塔区,大雁塔站,17.21,106.6,43.18,48.84,1.51,144.54,87,67.2,交通干线,IV类,0.45,0.966,0.976
2023-01-03,雁塔区,小雁塔站,25.57,38.97,13.93,30.08,2.03,120.06,81,69.0,交通干线,V类,0.45,0.965,0.956
2023-01-03,未央区,未央宫站,42.96,120.69,11.31,58.91,2.03,49.07,97,69.7,工业区,III类,0.41,0.972,0.962
2023-01-03,未央区,开发区站,21.15,74.15,30.2,46.4,2.09,117.85,84,64.4,工业区,V类,0.41,0.956,0.95
2023-01-03,灞桥区,灞桥站,76.59,129.19,37.71,69.66,2.22,131.58,115,53.6,居住区,I类,0.43,0.967,0.976
2023-01-03,灞桥区,纺织城站,65.41,70.19,23.11,53.23,2.3,165.2,99,56.2,商业区,III类,0.43,0.987,0.972
2023-01-03,长安区,郭杜站,18.63,71.71,16.01,45.41,1.08,154.69,93,65.5,交通干线,III类,0.48,0.954,0.973
2023-01-03,长安区,大学城站,44.48,130.28,28.95,56.37,1.72,103.86,104,62.4,商业区,V类,0.48,0.981,0.964
2023-01-03,高新区,科技路站,79.36,71.62,38.55,74.89,1.34,141.2,119,56.8,商业区,IV类,0.42,0.955,0.976
2023-01-03,高新区,高新西站,65.03,90.97,22.37,24.18,2.19,96.47,98,52.5,居住区,I类,0.42,0.965,0.948
2023-01-03,高新区,丈八站,28.93,57.61,25.68,32.33,0.97,157.92,95,67.2,商业区,II类,0.42,0.976,0.952
2023-01-03,经开区,经开站,23.59,109.7,15.39,77.16,2.23,73.85,93,64.8,商业区,II类,0.4,0.951,0.97
2023-01-03,经开区,浐灞站,63.78,90.18,26.49,49.73,1.88,120.59,96,70.4,工业区,III类,0.4,0.954,0.948
2023-01-03,曲江新区,曲江站,53.79,154.13,15.66,79.12,0.86,121.22,123,52.2,居住区,V类,0.5,0.966,0.964
2023-01-03,曲江新区,芙蓉园站,51.63,114.42,27.87,55.51,2.28,147.4,92,58.3,居住区,II类,0.5,0.977,0.962
2023-01-04,新城区,民乐站,61.8,86.66,36.49,78.79,2.94,127.1,118,60.6,商业区,II类,0.4,0.951,0.972
2023-01-04,新城区,长乐站,77.26,129.09,31.9,38.91,0.71,172.15,116,71.4,交通干线,II类,0.4,0.954,0.956
2023-01-04,碑林区,小寨站,51.99,157.47,32.88,94.07,2.47,138.25,126,50.6,居住区,II类,0.38,0.988,0.977
2023-01-04,碑林区,文艺路站,80.07,89.14,26.97,49.49,1.16,158.78,120,65.7,工业区,V类,0.38,0.952,0.966
2023-01-04,莲湖区,北院门站,32.34,126.65,25.29,79.52,0.61,60.62,101,49.0,居住区,V类,0.35,0.957,0.952
2023-01-04,莲湖区,红庙坡站,71.44,70.01,41.95,52.67,0.95,124.43,107,76.6,交通干线,II类,0.35,0.961,0.972
2023-01-04,雁塔区,大雁塔站,32.75,110.29,21.31,69.24,1.26,97.34,88,57.2,居住区,III类,0.45,0.96,0.975
2023-01-04,雁塔区,小雁塔站,78.55,67.44,24.56,33.89,1.3,138.73,118,68.3,工业区,IV类,0.45,0.962,0.945
2023-01-04,未央区,未央宫站,30.33,44.99,28.65,37.84,1.83,69.2,73,69.7,工业区,V类,0.41,0.981,0.95
2023-01-04,未央区,开发区站,72.84,54.45,35.75,48.71,2.08,113.93,109,56.4,居住区,II类,0.41,0.951,0.954
2023-01-04,灞桥区,灞桥站,39.5,161.19,45.99,28.26,2.7,88.25,129,59.8,商业区,V类,0.43,0.956,0.941
2023-01-04,灞桥区,纺织城站,81.49,154.82,23.79,73.51,1.48,113.69,124,70.0,工业区,II类,0.43,0.951,0.97
2023-01-04,长安区,郭杜站,42.59,105.56,48.39,28.36,1.43,121.12,97,65.6,工业区,V类,0.48,0.961,0.96
2023-01-04,长安区,大学城站,22.87,125.98,35.15,36.88,2.83,65.99,113,69.8,商业区,IV类,0.48,0.97,0.978
2023-01-04,高新区,科技路站,23.28,112.24,20.4,27.1,1.59,145.75,90,63.3,商业区,V类,0.42,0.975,0.952
2023-01-04,高新区,高新西站,73.47,112.98,34.42,95.03,1.51,136.07,114,47.6,居住区,IV类,0.42,0.963,0.952
2023-01-04,高新区,丈八站,69.64,60.5,17.74,32.58,1.33,143.87,104,71.5,工业区,V类,0.42,0.985,0.971
2023-01-04,经开区,经开站,48.98,147.15,39.69,75.04,1.37,104.04,118,46.2,居住区,II类,0.4,0.973,0.956
2023-01-04,经开区,浐灞站,53.01,117.78,47.48,70.6,2.33,153.96,95,66.4,商业区,IV类,0.4,0.953,0.969
2023-01-04,曲江新区,曲江站,40.97,123.96,31.41,41.22,1.33,65.86,99,59.9,商业区,V类,0.5,0.979,0.958
2023-01-04,曲江新区,芙蓉园站,82.57,86.15,32.76,78.46,2.16,187.74,124,62.5,商业区,IV类,0.5,0.967,0.946
2023-01-05,新城区,民乐站,82.0,100.09,42.86,106.75,3.13,94.32,128,61.7,工业区,I类,0.4,0.961,0.964
2023-01-05,新城区,长乐站,40.66,118.64,52.49,55.89,2.58,117.67,105,71.6,交通干线,V类,0.4,0.966,0.943
2023-01-05,碑林区,小寨站,84.79,80.0,38.85,96.42,3.69,112.07,148,57.2,商业区,III类,0.38,0.961,0.96
2023-01-05,碑林区,文艺路站,44.94,183.69,12.71,51.77,1.95,96.2,147,65.2,交通干线,V类,0.38,0.982,0.941
2023-01-05,莲湖区,北院门站,67.66,207.64,55.8,81.81,2.01,66.07,166,51.6,居住区,V类,0.35,0.966,0.955
2023-01-05,莲湖区,红庙坡站,63.01,72.03,11.91,47.82,2.45,106.41,98,79.9,交通干线,I类,0.35,0.959,0.942
2023-01-05,雁塔区,大雁塔站,110.63,118.9,18.99,48.8,1.23,234.91,166,69.5,商业区,III类,0.45,0.954,0.941
2023-01-05,雁塔区,小雁塔站,52.73,104.22,54.28,56.21,1.48,60.75,109,66.3,商业区,V类,0.45,0.968,0.946
2023-01-05,未央区,未央宫站,75.39,190.04,16.98,115.45,3.61,151.42,152,70.3,工业区,III类,0.41,0.974,0.955
2023-01-05,未央区,开发区站,98.03,205.02,55.7,54.21,3.59,89.91,164,46.0,居住区,V类,0.41,0.99,0.967
2023-01-05,灞桥区,灞桥站,65.83,178.54,32.56,109.97,3.66,98.32,146,52.9,居住区,I类,0.43,0.955,0.977
2023-01-05,灞桥区,纺织城站,80.34,142.43,45.78,97.2,3.58,82.35,143,78.2,交通干线,III类,0.43,0.97,0.942
2023-01-05,长安区,郭杜站,75.0,175.89,39.16,103.91,1.22,184.65,141,58.3,商业区,II类,0.48,0.976,0.959
2023-01-05,长安区,大学城站,47.7,107.6,24.32,36.98,1.08,196.13,118,59.5,商业区,II类,0.48,0.951,0.952
2023-01-05,高新区,科技路站,25.98,175.69,44.13,77.91,1.68,80.72,141,55.1,居住区,IV类,0.42,0.988,0.949
2023-01-05,高新区,高新西站,109.9,183.66,24.88,117.16,3.03,217.67,165,68.8,工业区,V类,0.42,0.962,0.976
2023-01-05,高新区,丈八站,40.43,90.61,22.82,73.12,1.54,72.3,88,57.8,居住区,II类,0.42,0.958,0.973
2023-01-05,经开区,经开站,67.78,164.95,14.74,47.71,3.47,89.27,139,55.5,商业区,III类,0.4,0.959,0.944
2023-01-05,经开区,浐灞站,26.62,169.39,23.15,54.72,1.52,169.8,136,67.5,工业区,II类,0.4,0.973,0.956
2023-01-05,曲江新区,曲江站,89.04,54.68,48.47,29.97,3.29,79.55,134,65.8,交通干线,IV类,0.5,0.953,0.979
2023-01-05,曲江新区,芙蓉园站,36.03,111.12,30.64,58.5,1.73,88.11,89,72.7,工业区,IV类,0.5,0.964,0.963
2023-01-06,新城区,民乐站,89.73,138.92,31.64,58.11,1.88,98.53,135,45.2,居住区,V类,0.4,0.967,0.967
2023-01-06,新城区,长乐站,27.47,82.98,44.24,100.62,2.73,196.24,121,69.5,工业区,V类,0.4,0.959,0.977
2023-01-06,碑林区,小寨站,21.95,156.58,23.42,52.35,3.0,161.0,125,56.6,居住区,II类,0.38,0.973,0.95
2023-01-06,碑林区,文艺路站,87.31,174.4,45.17,78.59,3.05,74.41,140,58.8,商业区,I类,0.38,0.989,0.955
2023-01-06,莲湖区,北院门站,64.62,136.21,28.12,75.05,3.13,119.96,125,60.9,商业区,V类,0.35,0.969,0.943
2023-01-06,莲湖区,红庙坡站,40.87,191.5,33.29,56.94,1.71,100.32,153,68.7,交通干线,III类,0.35,0.966,0.948
2023-01-06,雁塔区,大雁塔站,86.49,45.62,45.75,55.16,3.16,168.06,130,64.3,商业区,I类,0.45,0.967,0.946
2023-01-06,雁塔区,小雁塔站,35.46,182.79,39.98,45.18,1.8,108.59,146,76.3,交通干线,IV类,0.45,0.964,0.951
2023-01-06,未央区,未央宫站,69.93,69.71,34.63,51.81,2.93,184.43,117,68.1,交通干线,IV类,0.41,0.964,0.953
2023-01-06,未央区,开发区站,92.03,185.65,42.3,56.28,2.49,66.11,149,56.7,居住区,V类,0.41,0.984,0.94
2023-01-06,灞桥区,灞桥站,46.76,74.68,24.14,75.62,1.65,114.83,91,49.4,居住区,V类,0.43,0.98,0.964
2023-01-06,灞桥区,纺织城站,24.84,100.57,11.24,45.59,2.46,98.09,98,55.4,居住区,II类,0.43,0.967,0.958
2023-01-06,长安区,郭杜站,32.89,156.82,20.18,103.4,0.78,124.56,125,77.4,交通干线,I类,0.48,0.979,0.96
2023-01-06,长安区,大学城站,51.43,45.24,19.85,76.78,2.95,92.22,118,71.0,交通干线,I类,0.48,0.978,0.958
2023-01-06,高新区,科技路站,45.38,179.56,30.3,49.52,3.07,61.83,144,46.8,居住区,IV类,0.42,0.966,0.969
2023-01-06,高新区,高新西站,47.44,136.03,52.65,36.89,2.82,80.72,113,70.4,交通干线,II类,0.42,0.98,0.966
2023-01-06,高新区,丈八站,52.6,53.03,18.27,80.25,0.87,206.93,124,73.1,交通干线,V类,0.42,0.987,0.979
2023-01-06,经开区,经开站,51.16,147.01,27.83,93.66,1.75,117.21,118,66.9,交通干线,V类,0.4,0.959,0.957
2023-01-06,经开区,浐灞站,61.45,116.76,29.17,95.48,1.15,66.91,115,69.0,商业区,V类,0.4,0.987,0.944
2023-01-06,曲江新区,曲江站,28.93,104.18,52.58,85.51,2.39,172.94,105,76.8,交通干线,II类,0.5,0.953,0.948
2023-01-06,曲江新区,芙蓉园站,77.14,166.07,36.25,85.25,2.62,176.42,133,78.7,交通干线,I类,0.5,0.961,0.971
2023-01-07,新城区,民乐站,91.05,49.13,9.77,60.93,2.91,120.87,137,72.9,工业区,III类,0.4,0.971,0.953
2023-01-07,新城区,长乐站,98.45,65.15,38.51,84.56,2.14,105.04,148,65.9,工业区,III类,0.4,0.956,0.959
2023-01-07,碑林区,小寨站,74.94,145.29,16.24,36.42,2.17,122.14,116,62.6,工业区,IV类,0.38,0.95,0.972
2023-01-07,碑林区,文艺路站,89.43,167.22,32.65,34.86,2.68,66.38,134,72.6,工业区,V类,0.38,0.98,0.95
2023-01-07,莲湖区,北院门站,39.44,179.01,36.64,54.69,3.06,212.68,143,51.6,居住区,I类,0.35,0.977,0.975
2023-01-07,莲湖区,红庙坡站,89.55,130.38,28.34,51.83,0.87,89.11,134,68.0,交通干线,I类,0.35,0.962,0.963
2023-01-07,雁塔区,大雁塔站,86.73,63.4,8.79,66.08,1.53,136.92,130,56.8,商业区,IV类,0.45,0.98,0.952
2023-01-07,雁塔区,小雁塔站,66.88,174.89,44.2,53.34,0.79,157.53,140,52.0,居住区,III类,0.45,0.952,0.957
2023-01-07,未央区,未央宫站,73.22,182.94,31.35,61.3,2.7,114.94,146,72.3,工业区,V类,0.41,0.977,0.956
2023-01-07,未央区,开发区站,24.48,46.05,34.74,31.52,1.77,84.97,71,53.1,居住区,III类,0.41,0.988,0.977
2023-01-07,灞桥区,灞桥站,57.77,98.83,42.31,41.92,1.63,69.56,87,79.4,交通干线,III类,0.43,0.958,0.958
2023-01-07,灞桥区,纺织城站,65.82,184.06,24.32,103.94,1.57,145.88,147,66.3,交通干线,I类,0.43,0.971,0.952
2023-01-07,长安区,郭杜站,76.28,144.01,42.71,54.52,1.06,96.15,115,71.2,交通干线,II类,0.48,0.954,0.963
2023-01-07,长安区,大学城站,50.68,163.59,27.02,34.23,3.02,70.85,131,56.5,商业区,II类,0.48,0.974,0.965
2023-01-07,高新区,科技路站,88.11,165.49,32.74,70.62,1.72,112.03,132,55.9,商业区,III类,0.42,0.951,0.945
2023-01-07,高新区,高新西站,91.43,77.73,50.31,32.14,1.31,180.63,137,73.2,工业区,V类,0.42,0.972,0.979
2023-01-07,高新区,丈八站,86.69,187.22,33.56,30.3,1.33,112.01,150,69.0,交通干线,V类,0.42,0.983,0.949
2023-01-07,经开区,经开站,68.98,48.16,8.5,76.48,0.87,167.38,103,56.7,商业区,IV类,0.4,0.977,0.942
2023-01-07,经开区,浐灞站,88.27,98.86,42.36,104.75,2.55,161.23,132,46.5,居住区,IV类,0.4,0.952,0.948
2023-01-07,曲江新区,曲江站,87.26,48.43,18.9,58.86,1.1,158.0,131,62.2,商业区,IV类,0.5,0.974,0.942
2023-01-07,曲江新区,芙蓉园站,78.11,69.53,14.67,82.05,3.04,161.8,122,57.0,居住区,IV类,0.5,0.963,0.954
2023-01-08,新城区,民乐站,43.3,98.03,21.27,40.41,1.3,70.25,78,67.5,商业区,V类,0.4,0.959,0.971
2023-01-08,新城区,长乐站,54.43,74.88,15.48,81.72,0.78,51.33,98,61.1,工业区,II类,0.4,0.971,0.972
2023-01-08,碑林区,小寨站,29.72,149.08,44.24,38.26,1.95,84.28,119,62.3,工业区,IV类,0.38,0.968,0.958
2023-01-08,碑林区,文艺路站,43.65,68.64,9.22,84.36,0.68,61.47,101,72.5,工业区,II类,0.38,0.987,0.955
2023-01-08,莲湖区,北院门站,27.73,61.36,21.18,77.99,2.15,103.69,94,65.8,工业区,III类,0.35,0.981,0.955
2023-01-08,莲湖区,红庙坡站,56.67,80.71,10.28,33.44,2.69,167.83,108,54.6,居住区,II类,0.35,0.988,0.967
