district,entity_type,facility_area,enterprise_count,occupancy_rate,service_types,project_field,total_funding,success_rate,patent_applications,talent_count,industry_cooperation,annual_events,govt_support,establishment_date
莲湖区,科技园区,132415.76,114,0.94,"['研发支持', '产业集群', '知识产权']",电子商务,244234.33,0.2,219,536,16,20,981.71,2019-05-20
新城区,众创空间,1294.71,37,0.75,"['联合办公', '资源对接', '创业培训']",生物医药,196091.05,0.14,37,155,16,11,963.13,2021-05-11
灞桥区,孵化器,10411.04,55,0.75,"['投融资服务', '创业辅导', '场地服务', '政策咨询']",智能制造,135800.93,0.2,76,393,7,23,845.94,2019-04-23
新城区,众创空间,1908.09,18,0.75,"['联合办公', '创业培训', '资源对接']",新能源,42346.24,0.18,13,110,7,13,804.26,2019-02-09
曲江新区,孵化器,13378.49,99,0.66,"['政策咨询', '投融资服务', '场地服务', '创业辅导']",新能源,446376.3,0.34,122,763,9,5,756.31,2020-11-03
经开区,科技园区,52353.74,139,0.93,"['人才服务', '研发支持']",生物医药,957115.46,0.3,251,513,17,10,740.99,2020-08-08
新城区,众创空间,4562.61,46,0.94,"['创业培训', '联合办公', '资源对接']",生物医药,336397.16,0.14,36,252,8,22,694.82,2020-10-15
碑林区,众创空间,4740.03,34,0.71,"['创业培训', '联合办公', '资源对接']",生物医药,195159.8,0.17,67,146,12,22,837.46,2019-11-04
灞桥区,科技园区,171566.22,367,0.63,"['知识产权', '研发支持', '人才服务', '产业集群']",智能制造,1257999.68,0.2,731,1114,6,24,924.72,2019-06-06
经开区,科技园区,99642.38,481,0.76,"['人才服务', '知识产权']",智能制造,4562574.14,0.34,464,1963,10,9,941.58,2022-12-05
雁塔区,科技园区,149552.01,210,0.81,"['知识产权', '产业集群', '研发支持', '人才服务']",人工智能,315375.26,0.32,151,644,15,9,584.15,2023-05-26
新城区,众创空间,3700.39,38,0.68,"['资源对接', '联合办公', '创业培训']",人工智能,132747.38,0.16,21,243,9,22,734.62,2023-05-23
高新区,孵化器,7551.08,58,0.7,"['创业辅导', '投融资服务', '政策咨询']",智能制造,343534.42,0.38,59,452,19,4,480.32,2023-07-24
曲江新区,孵化器,10263.05,46,0.91,"['场地服务', '创业辅导']",电子商务,45185.08,0.38,49,329,6,23,230.36,2022-06-16
经开区,科技园区,189324.75,120,0.82,"['产业集群', '研发支持', '人才服务']",电子商务,205630.27,0.42,64,884,5,21,635.54,2021-12-04
新城区,众创空间,3496.52,26,0.6,"['资源对接', '创业培训']",生物医药,204265.87,0.14,22,183,7,6,527.68,2020-12-22
高新区,孵化器,5387.6,69,0.75,"['创业辅导', '场地服务', '政策咨询']",生物医药,537799.07,0.33,110,349,9,20,352.88,2022-11-14
长安区,科技园区,92873.91,412,0.67,"['研发支持', '知识产权', '产业集群', '人才服务']",人工智能,530478.67,0.34,602,1882,7,19,390.51,2022-07-01
高新区,科技园区,143462.09,329,0.71,"['人才服务', '知识产权', '研发支持']",人工智能,484723.48,0.38,180,2174,14,14,140.75,2022-03-30
