date,hour,district,period_type,is_weekend,inflow,outflow,total_flow
2023-01-01,0,新城区,平峰,True,2.59,2.59,5.19
2023-01-01,0,碑林区,平峰,True,1.31,1.31,2.61
2023-01-01,0,莲湖区,平峰,True,1.23,1.23,2.46
2023-01-01,0,雁塔区,平峰,True,1.74,1.74,3.48
2023-01-01,0,未央区,平峰,True,1.46,1.46,2.93
2023-01-01,0,灞桥区,平峰,True,1.01,1.01,2.02
2023-01-01,0,长安区,平峰,True,1.41,1.41,2.81
2023-01-01,0,高新区,平峰,True,1.34,1.34,2.69
2023-01-01,0,经开区,平峰,True,1.27,1.27,2.55
2023-01-01,0,曲江新区,平峰,True,1.01,1.01,2.02
2023-01-01,1,新城区,平峰,True,1.21,1.21,2.41
2023-01-01,1,碑林区,平峰,True,2.52,2.52,5.03
2023-01-01,1,莲湖区,平峰,True,1.5,1.5,3.0
2023-01-01,1,雁塔区,平峰,True,1.34,1.34,2.68
2023-01-01,1,未央区,平峰,True,1.67,1.67,3.34
2023-01-01,1,灞桥区,平峰,True,1.27,1.27,2.53
2023-01-01,1,长安区,平峰,True,1.66,1.66,3.31
2023-01-01,1,高新区,平峰,True,1.98,1.98,3.97
2023-01-01,1,经开区,平峰,True,1.27,1.27,2.54
2023-01-01,1,曲江新区,平峰,True,2.17,2.17,4.35
2023-01-01,2,新城区,平峰,True,1.81,1.81,3.62
2023-01-01,2,碑林区,平峰,True,2.48,2.48,4.97
2023-01-01,2,莲湖区,平峰,True,1.27,1.27,2.54
2023-01-01,2,雁塔区,平峰,True,1.39,1.39,2.79
2023-01-01,2,未央区,平峰,True,1.27,1.27,2.54
2023-01-01,2,灞桥区,平峰,True,0.64,0.64,1.28
2023-01-01,2,长安区,平峰,True,0.98,0.98,1.96
2023-01-01,2,高新区,平峰,True,1.4,1.4,2.8
2023-01-01,2,经开区,平峰,True,0.92,0.92,1.84
2023-01-01,2,曲江新区,平峰,True,1.78,1.78,3.56
2023-01-01,3,新城区,平峰,True,1.3,1.3,2.6
2023-01-01,3,碑林区,平峰,True,2.72,2.72,5.44
2023-01-01,3,莲湖区,平峰,True,1.99,1.99,3.98
2023-01-01,3,雁塔区,平峰,True,1.36,1.36,2.73
2023-01-01,3,未央区,平峰,True,1.23,1.23,2.46
2023-01-01,3,灞桥区,平峰,True,0.8,0.8,1.6
2023-01-01,3,长安区,平峰,True,0.96,0.96,1.91
2023-01-01,3,高新区,平峰,True,1.59,1.59,3.17
2023-01-01,3,经开区,平峰,True,1.61,1.61,3.23
2023-01-01,3,曲江新区,平峰,True,1.35,1.35,2.7
2023-01-01,4,新城区,平峰,True,1.5,1.5,2.99
2023-01-01,4,碑林区,平峰,True,1.59,1.59,3.17
2023-01-01,4,莲湖区,平峰,True,1.44,1.44,2.87
2023-01-01,4,雁塔区,平峰,True,1.11,1.11,2.23
2023-01-01,4,未央区,平峰,True,1.26,1.26,2.51
2023-01-01,4,灞桥区,平峰,True,1.05,1.05,2.1
2023-01-01,4,长安区,平峰,True,1.23,1.23,2.46
2023-01-01,4,高新区,平峰,True,1.48,1.48,2.96
2023-01-01,4,经开区,平峰,True,1.52,1.52,3.03
