district,property_type,property_subtype,area,floor,price_per_sqm,total_price,build_year,transaction_date,property_condition,has_elevator,has_parking,green_ratio,plot_ratio
曲江新区,住宅,普通住宅,85.06,10,17394.12,147.96,2014,2019-11,差,False,True,0.31,1.77
高新区,商铺,社区商铺,65.78,5,26785.92,176.21,2015,2021-06,差,False,False,0.28,2.88
曲江新区,写字楼,甲级写字楼,974.08,8,32760.92,3191.16,1990,2021-01,良,False,False,0.4,2.82
雁塔区,住宅,高档小区,180.3,27,25050.18,451.66,2020,2022-02,优,True,False,0.27,2.85
新城区,写字楼,乙级写字楼,424.32,25,24595.87,1043.65,2005,2021-01,差,False,True,0.42,2.07
灞桥区,商铺,临街商铺,81.07,28,20665.13,167.53,2019,2020-06,差,True,True,0.27,2.16
未央区,写字楼,普通写字楼,132.67,17,17496.78,232.13,2008,2022-04,差,True,True,0.4,4.39
灞桥区,住宅,普通住宅,93.88,2,8719.17,81.86,2002,2022-01,中,False,False,0.34,2.22
灞桥区,商铺,临街商铺,85.15,14,17295.15,147.27,2012,2019-12,中,True,True,0.44,2.98
碑林区,写字楼,乙级写字楼,216.63,1,25013.91,541.88,2001,2022-08,中,False,False,0.28,3.28
未央区,写字楼,乙级写字楼,530.21,31,13904.14,737.21,1991,2022-12,良,True,True,0.33,3.32
莲湖区,住宅,中档小区,95.12,13,15941.09,151.63,2004,2020-08,优,True,False,0.3,2.09
经开区,写字楼,普通写字楼,110.27,21,16723.97,184.42,2008,2023-04,差,True,False,0.37,4.21
曲江新区,住宅,普通住宅,87.71,26,16759.64,147.01,2002,2019-01,中,True,True,0.27,2.84
曲江新区,商铺,商场商铺,147.68,2,55734.35,823.06,2018,2023-01,差,False,False,0.26,2.92
曲江新区,商铺,商场商铺,34.14,1,46227.44,157.82,2018,2021-02,良,False,True,0.42,3.92
雁塔区,商铺,临街商铺,154.76,23,22104.99,342.09,1991,2019-01,中,True,False,0.3,3.94
碑林区,住宅,中档小区,148.61,2,27899.49,414.6,2019,2023-03,差,False,True,0.28,2.01
长安区,写字楼,普通写字楼,467.65,11,10958.23,512.46,2003,2023-09,优,False,False,0.33,3.64
高新区,住宅,高档小区,145.34,30,25862.5,375.89,2012,2022-08,中,True,True,0.44,3.38
碑林区,写字楼,甲级写字楼,569.88,2,33294.54,1897.4,2020,2023-06,优,False,False,0.38,2.13
未央区,商铺,社区商铺,49.12,11,15133.92,74.33,2017,2019-06,优,False,False,0.44,2.19
高新区,商铺,临街商铺,132.85,1,22955.99,304.97,2006,2020-03,良,False,True,0.27,2.03
未央区,商铺,社区商铺,147.79,4,17725.42,261.96,2015,2021-11,优,False,False,0.29,3.04
未央区,商铺,商场商铺,89.91,33,33044.04,297.11,2020,2022-09,差,False,True,0.37,2.31
新城区,写字楼,甲级写字楼,961.08,23,29575.72,2842.46,2013,2023-08,良,True,False,0.37,4.09
长安区,商铺,商场商铺,68.42,16,20868.95,142.78,1991,2020-05,差,True,False,0.29,3.13
