date,hour,district,road_name,congestion_index,avg_speed,is_weekend,transport_type,passenger_flow
2023-01-01,0,新城区,解放路,2.56,53.21,True,,
2023-01-01,0,新城区,长乐路,2.15,48.73,True,,
2023-01-01,0,新城区,韩森路,1.57,53.91,True,,
2023-01-01,0,新城区,民乐路,1.83,47.74,True,,
2023-01-01,0,碑林区,南大街,4.18,31.1,True,,
2023-01-01,0,碑林区,东大街,3.59,38.28,True,,
2023-01-01,0,碑林区,西大街,3.46,26.3,True,,
2023-01-01,0,碑林区,北大街,3.29,36.69,True,,
2023-01-01,0,莲湖区,北院门,3.69,30.15,True,,
2023-01-01,0,莲湖区,环城西路,2.72,53.4,True,,
2023-01-01,0,莲湖区,劳动路,2.76,53.88,True,,
2023-01-01,0,莲湖区,大兴路,2.4,51.64,True,,
2023-01-01,0,雁塔区,小寨路,2.35,55.17,True,,
2023-01-01,0,雁塔区,雁塔路,1.85,51.0,True,,
2023-01-01,0,雁塔区,长安路,2.16,55.21,True,,
2023-01-01,0,雁塔区,含光路,1.82,59.87,True,,
2023-01-01,0,未央区,未央路,1.94,45.71,True,,
2023-01-01,0,未央区,凤城路,1.6,45.63,True,,
2023-01-01,0,未央区,太华路,1.99,48.21,True,,
2023-01-01,0,未央区,文景路,1.83,52.72,True,,
2023-01-01,0,长安区,长安大学城,1.77,46.8,True,,
2023-01-01,0,长安区,西部大道,1.36,55.78,True,,
2023-01-01,0,长安区,子午大道,1.84,45.75,True,,
2023-01-01,0,长安区,常宁路,1.19,47.56,True,,
2023-01-01,0,高新区,科技路,2.51,57.64,True,,
2023-01-01,0,高新区,高新路,1.95,54.27,True,,
2023-01-01,0,高新区,丈八路,1.68,54.29,True,,
2023-01-01,0,高新区,唐延路,1.93,58.49,True,,
2023-01-01,0,曲江新区,雁展路,2.85,56.13,True,,
2023-01-01,0,曲江新区,曲江池西路,2.54,48.06,True,,
2023-01-01,0,曲江新区,慈恩路,1.8,55.75,True,,
2023-01-01,0,曲江新区,曲江池东路,2.6,54.64,True,,
2023-01-01,0,,,,,True,地铁,2.35
2023-01-01,0,,,,,True,公交,1.58
2023-01-01,1,新城区,解放路,2.36,50.77,True,,
2023-01-01,1,新城区,长乐路,2.0,53.9,True,,
2023-01-01,1,新城区,韩森路,1.56,49.49,True,,
2023-01-01,1,新城区,民乐路,2.01,57.48,True,,
2023-01-01,1,碑林区,南大街,3.67,27.13,True,,
2023-01-01,1,碑林区,东大街,3.45,42.4,True,,
2023-01-01,1,碑林区,西大街,3.36,43.55,True,,
2023-01-01,1,碑林区,北大街,3.53,27.22,True,,
2023-01-01,1,莲湖区,北院门,3.72,28.78,True,,
2023-01-01,1,莲湖区,环城西路,3.16,32.04,True,,
2023-01-01,1,莲湖区,劳动路,3.03,44.18,True,,
2023-01-01,1,莲湖区,大兴路,2.57,48.74,True,,
2023-01-01,1,雁塔区,小寨路,2.74,55.21,True,,
2023-01-01,1,雁塔区,雁塔路,2.18,45.26,True,,
2023-01-01,1,雁塔区,长安路,2.32,50.72,True,,
2023-01-01,1,雁塔区,含光路,1.98,51.66,True,,
2023-01-01,1,未央区,未央路,2.2,47.77,True,,
2023-01-01,1,未央区,凤城路,1.72,56.19,True,,
2023-01-01,1,未央区,太华路,1.79,54.14,True,,
2023-01-01,1,未央区,文景路,1.6,51.1,True,,
2023-01-01,1,长安区,长安大学城,1.58,58.69,True,,
2023-01-01,1,长安区,西部大道,1.39,53.23,True,,
2023-01-01,1,长安区,子午大道,1.72,49.33,True,,
2023-01-01,1,长安区,常宁路,1.31,50.11,True,,
2023-01-01,1,高新区,科技路,2.47,46.28,True,,
2023-01-01,1,高新区,高新路,2.07,45.56,True,,
2023-01-01,1,高新区,丈八路,1.71,45.19,True,,
2023-01-01,1,高新区,唐延路,1.99,57.92,True,,
2023-01-01,1,曲江新区,雁展路,2.88,54.19,True,,
2023-01-01,1,曲江新区,曲江池西路,2.51,47.81,True,,
2023-01-01,1,曲江新区,慈恩路,2.14,55.02,True,,
2023-01-01,1,曲江新区,曲江池东路,2.53,45.96,True,,
2023-01-01,1,,,,,True,地铁,1.93
2023-01-01,1,,,,,True,公交,1.51
2023-01-01,2,新城区,解放路,1.64,53.31,True,,
2023-01-01,2,新城区,长乐路,1.41,56.61,True,,
2023-01-01,2,新城区,韩森路,1.16,47.76,True,,
2023-01-01,2,新城区,民乐路,1.31,48.35,True,,
2023-01-01,2,碑林区,南大街,2.58,53.41,True,,
2023-01-01,2,碑林区,东大街,2.31,46.15,True,,
2023-01-01,2,碑林区,西大街,2.34,54.02,True,,
2023-01-01,2,碑林区,北大街,2.29,56.91,True,,
2023-01-01,2,莲湖区,北院门,2.36,47.15,True,,
2023-01-01,2,莲湖区,环城西路,2.0,48.21,True,,
2023-01-01,2,莲湖区,劳动路,1.99,45.09,True,,
2023-01-01,2,莲湖区,大兴路,1.51,45.8,True,,
2023-01-01,2,雁塔区,小寨路,1.66,56.22,True,,
2023-01-01,2,雁塔区,雁塔路,1.2,52.84,True,,
2023-01-01,2,雁塔区,长安路,1.31,52.72,True,,
2023-01-01,2,雁塔区,含光路,1.12,48.32,True,,
2023-01-01,2,未央区,未央路,1.19,47.79,True,,
2023-01-01,2,未央区,凤城路,1.02,48.23,True,,
2023-01-01,2,未央区,太华路,1.29,50.19,True,,
2023-01-01,2,未央区,文景路,1.08,46.04,True,,
2023-01-01,2,长安区,长安大学城,1.0,59.51,True,,
2023-01-01,2,长安区,西部大道,1.0,46.57,True,,
2023-01-01,2,长安区,子午大道,1.0,49.53,True,,
2023-01-01,2,长安区,常宁路,1.0,49.39,True,,
2023-01-01,2,高新区,科技路,1.5,59.1,True,,
2023-01-01,2,高新区,高新路,1.18,48.5,True,,
2023-01-01,2,高新区,丈八路,1.0,56.11,True,,
2023-01-01,2,高新区,唐延路,1.21,55.06,True,,
2023-01-01,2,曲江新区,雁展路,1.83,48.51,True,,
2023-01-01,2,曲江新区,曲江池西路,1.58,45.81,True,,
2023-01-01,2,曲江新区,慈恩路,1.34,56.01,True,,
2023-01-01,2,曲江新区,曲江池东路,1.59,47.12,True,,
2023-01-01,2,,,,,True,地铁,1.28
2023-01-01,2,,,,,True,公交,1.24
2023-01-01,3,新城区,解放路,1.53,50.42,True,,
2023-01-01,3,新城区,长乐路,1.48,46.16,True,,
2023-01-01,3,新城区,韩森路,1.19,55.68,True,,
2023-01-01,3,新城区,民乐路,1.43,54.15,True,,
2023-01-01,3,碑林区,南大街,2.63,48.46,True,,
2023-01-01,3,碑林区,东大街,2.4,56.27,True,,
2023-01-01,3,碑林区,西大街,2.4,46.51,True,,
2023-01-01,3,碑林区,北大街,2.38,50.82,True,,
2023-01-01,3,莲湖区,北院门,2.31,57.1,True,,
2023-01-01,3,莲湖区,环城西路,1.86,51.1,True,,
2023-01-01,3,莲湖区,劳动路,2.1,47.41,True,,
2023-01-01,3,莲湖区,大兴路,1.72,59.87,True,,
2023-01-01,3,雁塔区,小寨路,1.62,47.21,True,,
2023-01-01,3,雁塔区,雁塔路,1.48,51.98,True,,
2023-01-01,3,雁塔区,长安路,1.57,57.69,True,,
2023-01-01,3,雁塔区,含光路,1.3,57.11,True,,
2023-01-01,3,未央区,未央路,1.48,47.03,True,,
2023-01-01,3,未央区,凤城路,1.19,59.12,True,,
2023-01-01,3,未央区,太华路,1.46,56.78,True,,
2023-01-01,3,未央区,文景路,1.13,47.68,True,,
2023-01-01,3,长安区,长安大学城,1.13,51.19,True,,
2023-01-01,3,长安区,西部大道,1.0,55.92,True,,
2023-01-01,3,长安区,子午大道,1.03,51.7,True,,
2023-01-01,3,长安区,常宁路,1.0,56.7,True,,
2023-01-01,3,高新区,科技路,1.63,51.14,True,,
2023-01-01,3,高新区,高新路,1.4,52.65,True,,
2023-01-01,3,高新区,丈八路,1.02,49.41,True,,
2023-01-01,3,高新区,唐延路,1.2,50.56,True,,
2023-01-01,3,曲江新区,雁展路,1.89,48.34,True,,
2023-01-01,3,曲江新区,曲江池西路,1.76,45.6,True,,
2023-01-01,3,曲江新区,慈恩路,1.46,56.85,True,,
2023-01-01,3,曲江新区,曲江池东路,1.62,45.17,True,,
2023-01-01,3,,,,,True,地铁,1.38
2023-01-01,3,,,,,True,公交,0.96
2023-01-01,4,新城区,解放路,2.0,48.74,True,,
2023-01-01,4,新城区,长乐路,1.72,55.5,True,,
2023-01-01,4,新城区,韩森路,1.33,55.49,True,,
2023-01-01,4,新城区,民乐路,1.94,54.81,True,,
2023-01-01,4,碑林区,南大街,3.28,40.52,True,,
2023-01-01,4,碑林区,东大街,3.07,30.23,True,,
2023-01-01,4,碑林区,西大街,2.94,59.78,True,,
2023-01-01,4,碑林区,北大街,3.04,30.41,True,,
2023-01-01,4,莲湖区,北院门,3.02,28.43,True,,
2023-01-01,4,莲湖区,环城西路,2.68,57.69,True,,
2023-01-01,4,莲湖区,劳动路,2.88,45.72,True,,
2023-01-01,4,莲湖区,大兴路,2.32,51.47,True,,
2023-01-01,4,雁塔区,小寨路,2.24,51.77,True,,
2023-01-01,4,雁塔区,雁塔路,1.77,57.82,True,,
2023-01-01,4,雁塔区,长安路,1.94,55.65,True,,
2023-01-01,4,雁塔区,含光路,1.67,48.58,True,,
2023-01-01,4,未央区,未央路,1.81,46.81,True,,
2023-01-01,4,未央区,凤城路,1.47,58.6,True,,
2023-01-01,4,未央区,太华路,1.75,51.49,True,,
2023-01-01,4,未央区,文景路,1.33,50.89,True,,
2023-01-01,4,长安区,长安大学城,1.45,54.66,True,,
2023-01-01,4,长安区,西部大道,1.31,50.26,True,,
2023-01-01,4,长安区,子午大道,1.49,53.79,True,,
2023-01-01,4,长安区,常宁路,1.07,54.52,True,,
2023-01-01,4,高新区,科技路,2.16,58.69,True,,
2023-01-01,4,高新区,高新路,1.57,45.89,True,,
2023-01-01,4,高新区,丈八路,1.56,47.16,True,,
2023-01-01,4,高新区,唐延路,1.77,46.61,True,,
2023-01-01,4,曲江新区,雁展路,2.48,53.31,True,,
2023-01-01,4,曲江新区,曲江池西路,2.12,51.07,True,,
2023-01-01,4,曲江新区,慈恩路,1.88,59.0,True,,
2023-01-01,4,曲江新区,曲江池东路,2.15,50.37,True,,
2023-01-01,4,,,,,True,地铁,2.0
2023-01-01,4,,,,,True,公交,1.62
2023-01-01,5,新城区,解放路,2.3,59.46,True,,
2023-01-01,5,新城区,长乐路,2.22,59.48,True,,
2023-01-01,5,新城区,韩森路,1.65,48.82,True,,
2023-01-01,5,新城区,民乐路,1.98,45.08,True,,
2023-01-01,5,碑林区,南大街,4.27,38.18,True,,
2023-01-01,5,碑林区,东大街,3.97,30.61,True,,
2023-01-01,5,碑林区,西大街,3.51,30.65,True,,
2023-01-01,5,碑林区,北大街,3.99,43.69,True,,
2023-01-01,5,莲湖区,北院门,3.45,42.92,True,,
2023-01-01,5,莲湖区,环城西路,3.13,42.36,True,,
2023-01-01,5,莲湖区,劳动路,3.42,38.73,True,,
2023-01-01,5,莲湖区,大兴路,2.49,56.97,True,,
2023-01-01,5,雁塔区,小寨路,2.61,48.86,True,,
2023-01-01,5,雁塔区,雁塔路,2.17,52.6,True,,
2023-01-01,5,雁塔区,长安路,2.41,53.82,True,,
2023-01-01,5,雁塔区,含光路,2.35,47.39,True,,
2023-01-01,5,未央区,未央路,2.22,48.99,True,,
2023-01-01,5,未央区,凤城路,1.58,54.68,True,,
2023-01-01,5,未央区,太华路,2.26,47.77,True,,
2023-01-01,5,未央区,文景路,1.9,50.13,True,,
2023-01-01,5,长安区,长安大学城,1.66,52.22,True,,
2023-01-01,5,长安区,西部大道,1.29,52.86,True,,
2023-01-01,5,长安区,子午大道,1.68,54.34,True,,
2023-01-01,5,长安区,常宁路,1.51,55.94,True,,
2023-01-01,5,高新区,科技路,2.67,56.62,True,,
2023-01-01,5,高新区,高新路,2.33,47.17,True,,
2023-01-01,5,高新区,丈八路,1.78,54.52,True,,
2023-01-01,5,高新区,唐延路,2.03,51.65,True,,
2023-01-01,5,曲江新区,雁展路,3.45,38.13,True,,
2023-01-01,5,曲江新区,曲江池西路,2.71,50.08,True,,
2023-01-01,5,曲江新区,慈恩路,2.24,52.58,True,,
2023-01-01,5,曲江新区,曲江池东路,2.65,47.73,True,,
2023-01-01,5,,,,,True,地铁,1.99
2023-01-01,5,,,,,True,公交,1.54
2023-01-01,6,新城区,解放路,5.44,42.75,True,,
2023-01-01,6,新城区,长乐路,4.78,26.56,True,,
2023-01-01,6,新城区,韩森路,3.64,41.74,True,,
2023-01-01,6,新城区,民乐路,4.82,31.35,True,,
2023-01-01,6,碑林区,南大街,8.99,10.66,True,,
2023-01-01,6,碑林区,东大街,7.3,16.51,True,,
2023-01-01,6,碑林区,西大街,7.67,22.63,True,,
2023-01-01,6,碑林区,北大街,7.28,12.12,True,,
2023-01-01,6,莲湖区,北院门,7.71,13.98,True,,
2023-01-01,6,莲湖区,环城西路,6.32,18.36,True,,
2023-01-01,6,莲湖区,劳动路,6.32,21.06,True,,
2023-01-01,6,莲湖区,大兴路,5.51,43.08,True,,
2023-01-01,6,雁塔区,小寨路,5.67,36.23,True,,
2023-01-01,6,雁塔区,雁塔路,4.71,35.56,True,,
2023-01-01,6,雁塔区,长安路,4.86,41.37,True,,
2023-01-01,6,雁塔区,含光路,4.58,32.87,True,,
2023-01-01,6,未央区,未央路,4.42,29.47,True,,
2023-01-01,6,未央区,凤城路,3.31,27.07,True,,
2023-01-01,6,未央区,太华路,4.25,33.49,True,,
2023-01-01,6,未央区,文景路,3.34,31.81,True,,
2023-01-01,6,长安区,长安大学城,3.28,26.37,True,,
2023-01-01,6,长安区,西部大道,2.8,54.49,True,,
2023-01-01,6,长安区,子午大道,3.61,29.32,True,,
2023-01-01,6,长安区,常宁路,2.58,47.38,True,,
2023-01-01,6,高新区,科技路,4.39,29.11,True,,
2023-01-01,6,高新区,高新路,4.6,29.2,True,,
2023-01-01,6,高新区,丈八路,3.25,25.33,True,,
2023-01-01,6,高新区,唐延路,3.83,34.91,True,,
2023-01-01,6,曲江新区,雁展路,6.87,11.86,True,,
2023-01-01,6,曲江新区,曲江池西路,5.74,42.75,True,,
2023-01-01,6,曲江新区,慈恩路,4.44,30.27,True,,
2023-01-01,6,曲江新区,曲江池东路,5.76,41.61,True,,
2023-01-01,6,,,,,True,地铁,3.78
2023-01-01,6,,,,,True,公交,4.1
2023-01-01,7,新城区,解放路,8.82,10.57,True,,
2023-01-01,7,新城区,长乐路,8.43,21.49,True,,
2023-01-01,7,新城区,韩森路,6.48,19.0,True,,
2023-01-01,7,新城区,民乐路,7.66,13.69,True,,
2023-01-01,7,碑林区,南大街,10.0,10.35,True,,
2023-01-01,7,碑林区,东大街,10.0,14.84,True,,
2023-01-01,7,碑林区,西大街,10.0,21.77,True,,
2023-01-01,7,碑林区,北大街,10.0,18.91,True,,
2023-01-01,7,莲湖区,北院门,10.0,10.25,True,,
2023-01-01,7,莲湖区,环城西路,10.0,18.16,True,,
2023-01-01,7,莲湖区,劳动路,10.0,22.95,True,,
2023-01-01,7,莲湖区,大兴路,10.0,22.04,True,,
2023-01-01,7,雁塔区,小寨路,9.61,13.21,True,,
2023-01-01,7,雁塔区,雁塔路,7.81,21.59,True,,
2023-01-01,7,雁塔区,长安路,10.0,17.27,True,,
2023-01-01,7,雁塔区,含光路,7.76,24.07,True,,
2023-01-01,7,未央区,未央路,7.27,24.28,True,,
2023-01-01,7,未央区,凤城路,6.46,20.4,True,,
2023-01-01,7,未央区,太华路,7.41,19.76,True,,
2023-01-01,7,未央区,文景路,7.12,21.92,True,,
2023-01-01,7,长安区,长安大学城,6.17,23.9,True,,
2023-01-01,7,长安区,西部大道,5.04,44.15,True,,
2023-01-01,7,长安区,子午大道,7.2,12.44,True,,
2023-01-01,7,长安区,常宁路,5.4,28.13,True,,
2023-01-01,7,高新区,科技路,10.0,16.22,True,,
2023-01-01,7,高新区,高新路,8.38,16.59,True,,
2023-01-01,7,高新区,丈八路,6.8,19.7,True,,
2023-01-01,7,高新区,唐延路,8.98,22.86,True,,
2023-01-01,7,曲江新区,雁展路,10.0,16.68,True,,
2023-01-01,7,曲江新区,曲江池西路,10.0,18.14,True,,
2023-01-01,7,曲江新区,慈恩路,8.57,24.1,True,,
2023-01-01,7,曲江新区,曲江池东路,9.5,21.17,True,,
2023-01-01,7,,,,,True,地铁,7.02
2023-01-01,7,,,,,True,公交,7.68
2023-01-01,8,新城区,解放路,10.0,17.59,True,,
2023-01-01,8,新城区,长乐路,8.75,17.65,True,,
2023-01-01,8,新城区,韩森路,7.22,23.11,True,,
2023-01-01,8,新城区,民乐路,10.0,19.6,True,,
2023-01-01,8,碑林区,南大街,10.0,22.54,True,,
2023-01-01,8,碑林区,东大街,10.0,22.83,True,,
2023-01-01,8,碑林区,西大街,10.0,11.83,True,,
2023-01-01,8,碑林区,北大街,10.0,19.28,True,,
2023-01-01,8,莲湖区,北院门,10.0,10.59,True,,
2023-01-01,8,莲湖区,环城西路,10.0,14.57,True,,
2023-01-01,8,莲湖区,劳动路,10.0,13.24,True,,
2023-01-01,8,莲湖区,大兴路,10.0,22.06,True,,
2023-01-01,8,雁塔区,小寨路,10.0,10.41,True,,
2023-01-01,8,雁塔区,雁塔路,10.0,14.33,True,,
2023-01-01,8,雁塔区,长安路,10.0,18.59,True,,
2023-01-01,8,雁塔区,含光路,9.18,18.63,True,,
2023-01-01,8,未央区,未央路,8.34,13.45,True,,
2023-01-01,8,未央区,凤城路,6.95,11.01,True,,
2023-01-01,8,未央区,太华路,10.0,18.82,True,,
2023-01-01,8,未央区,文景路,8.44,21.19,True,,
2023-01-01,8,长安区,长安大学城,7.49,15.65,True,,
2023-01-01,8,长安区,西部大道,5.59,27.85,True,,
2023-01-01,8,长安区,子午大道,8.46,12.48,True,,
2023-01-01,8,长安区,常宁路,6.83,11.3,True,,
2023-01-01,8,高新区,科技路,10.0,23.52,True,,
2023-01-01,8,高新区,高新路,10.0,16.76,True,,
2023-01-01,8,高新区,丈八路,8.03,23.98,True,,
2023-01-01,8,高新区,唐延路,9.71,10.01,True,,
2023-01-01,8,曲江新区,雁展路,10.0,13.21,True,,
2023-01-01,8,曲江新区,曲江池西路,10.0,12.57,True,,
2023-01-01,8,曲江新区,慈恩路,10.0,20.02,True,,
2023-01-01,8,曲江新区,曲江池东路,10.0,10.6,True,,
2023-01-01,8,,,,,True,地铁,11.25
2023-01-01,8,,,,,True,公交,8.39
2023-01-01,9,新城区,解放路,10.0,11.96,True,,
2023-01-01,9,新城区,长乐路,9.23,21.59,True,,
2023-01-01,9,新城区,韩森路,8.38,11.62,True,,
2023-01-01,9,新城区,民乐路,9.2,18.93,True,,
2023-01-01,9,碑林区,南大街,10.0,23.46,True,,
2023-01-01,9,碑林区,东大街,10.0,19.69,True,,
2023-01-01,9,碑林区,西大街,10.0,15.02,True,,
2023-01-01,9,碑林区,北大街,10.0,22.03,True,,
2023-01-01,9,莲湖区,北院门,10.0,17.28,True,,
2023-01-01,9,莲湖区,环城西路,10.0,17.21,True,,
2023-01-01,9,莲湖区,劳动路,10.0,10.02,True,,
2023-01-01,9,莲湖区,大兴路,10.0,18.82,True,,
2023-01-01,9,雁塔区,小寨路,10.0,16.04,True,,
2023-01-01,9,雁塔区,雁塔路,10.0,14.32,True,,
2023-01-01,9,雁塔区,长安路,10.0,22.61,True,,
2023-01-01,9,雁塔区,含光路,9.03,21.39,True,,
2023-01-01,9,未央区,未央路,9.31,20.17,True,,
